CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID,MARK
MDA-MB-453,ADAM17,FGFR,1.0,75.0,0.235456711,10.0,29.2715289,16.44653795,10.0,93.55403117,-31.0305,1,ADAM17.FGFR,TRAINSET
MDA-MB-468,ADAM17,FGFR,1.0,75.0,0.0001,0.1,88.92630966,1.0,0.0,100.0,-30.44405,1,ADAM17.FGFR,TRAINSET
M14,ADAM17,FGFR,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-32.69373,-1,ADAM17.FGFR,TRAINSET
BT-549,ADAM17,MAP2K_1,1.0,75.0,1.0,0.9814525,81.02429198,1.0,0.0,100.0,-0.1462845,1,ADAM17.MAP2K_1,TRAINSET
CAL-120,ADAM17,MAP2K_1,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-42.75347,-1,ADAM17.MAP2K_1,TRAINSET
CAL-148,ADAM17,MAP2K_1,1.0,75.0,0.011726036,2.1293813,92.37127575,1.0,0.0,100.0,-9.994246,1,ADAM17.MAP2K_1,TRAINSET
CAMA-1,ADAM17,MAP2K_1,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-1.800398,1,ADAM17.MAP2K_1,TRAINSET
DU-4475,ADAM17,MAP2K_1,1.0,75.0,0.020731106,2.0999805,0.0,34.79576036,0.5542895,0.0,13.91472,1,ADAM17.MAP2K_1,TRAINSET
HCC1143,ADAM17,MAP2K_1,1.0,75.0,0.043476892,1.4064031,67.02537454,0.737686901,10.0,89.09999872,16.41538,1,ADAM17.MAP2K_1,TRAINSET
HCC1187,ADAM17,MAP2K_1,1.0,75.0,0.2216958,0.4144753,21.95251432,1.0,0.0,100.0,-15.21563,1,ADAM17.MAP2K_1,TRAINSET
HCC1395,ADAM17,MAP2K_1,1.0,75.0,0.076732378,0.7601594,76.19423244,75.0,0.4515384,86.36457426,5.722309,1,ADAM17.MAP2K_1,TRAINSET
HCC1937,ADAM17,MAP2K_1,1.0,75.0,0.025349307,1.5962705,85.57410212,75.0,0.2035039,88.7905746,11.9905,1,ADAM17.MAP2K_1,TRAINSET
HCC38,ADAM17,MAP2K_1,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,5.742608,1,ADAM17.MAP2K_1,TRAINSET
Hs-578-T,ADAM17,MAP2K_1,1.0,75.0,0.262002742,2.0145703,76.11308178,1.0,0.0,100.0,-20.70996,-1,ADAM17.MAP2K_1,TRAINSET
MDA-MB-436,ADAM17,MAP2K_1,1.0,75.0,0.225686973,0.5339835,43.78283732,1.0,0.0,100.0,0.01351545,1,ADAM17.MAP2K_1,TRAINSET
MDA-MB-453,ADAM17,MAP2K_1,1.0,75.0,1.0,0.0,100.0,0.0075,0.1,94.51706033,-41.87792,1,ADAM17.MAP2K_1,TRAINSET
BT-20,ADAM17,MTOR_1,1.0,75.0,0.605687563,1.2654588,0.0,75.0,0.8477869,68.22682053,18.30981,1,ADAM17.MTOR_1,TRAINSET
CAL-120,ADAM17,MTOR_1,1.0,75.0,0.28942193,10.0,49.89937288,1.0,0.0,100.0,2.971336,-1,ADAM17.MTOR_1,TRAINSET
CAMA-1,ADAM17,MTOR_1,1.0,75.0,0.485716842,1.5216843,4.35688537,0.0075,0.1,88.88012885,-10.6617,1,ADAM17.MTOR_1,TRAINSET
DU-4475,ADAM17,MTOR_1,1.0,75.0,0.204543966,2.5341734,21.5668768,39.48870844,0.843183,0.0,28.03853,1,ADAM17.MTOR_1,TRAINSET
HCC1143,ADAM17,MTOR_1,1.0,75.0,0.353192107,10.0,62.6988555,1.0,0.0,100.0,6.215895,-1,ADAM17.MTOR_1,TRAINSET
HCC1187,ADAM17,MTOR_1,1.0,75.0,0.266598382,10.0,13.5989091,1.0,0.0,100.0,-5.601741,1,ADAM17.MTOR_1,TRAINSET
HCC1395,ADAM17,MTOR_1,1.0,75.0,0.696868982,0.7587955,0.0,47.61171748,0.1,76.01912514,3.001454,1,ADAM17.MTOR_1,TRAINSET
HCC1428,ADAM17,MTOR_1,1.0,75.0,0.325342324,10.0,50.59933862,1.0,0.0,100.0,5.565547,1,ADAM17.MTOR_1,TRAINSET
HCC1806,ADAM17,MTOR_1,1.0,75.0,0.347728705,1.2629858,0.0,1.0,0.0,100.0,48.54537,1,ADAM17.MTOR_1,TRAINSET
HCC38,ADAM17,MTOR_1,1.0,75.0,1.0,10.0,62.80006635,1.0,0.0,100.0,1.089017,-1,ADAM17.MTOR_1,TRAINSET
MDA-MB-231,ADAM17,MTOR_1,1.0,75.0,0.402675902,0.937076,16.1590358,1.0,0.0,100.0,13.15388,1,ADAM17.MTOR_1,TRAINSET
MDA-MB-436,ADAM17,MTOR_1,1.0,75.0,0.195210716,3.1610905,28.63606438,1.0,0.0,100.0,6.743824,1,ADAM17.MTOR_1,TRAINSET
MDA-MB-453,ADAM17,MTOR_1,1.0,75.0,0.274518195,10.0,14.5990224,1.0,0.0,100.0,-11.08194,1,ADAM17.MTOR_1,TRAINSET
M14,ADAM17,MTOR_1,1.0,75.0,0.279845155,2.294865,63.76651475,75.0,0.2561658,75.71755699,28.46191,-3,ADAM17.MTOR_1,TRAINSET
CAL-120,ADAM17,PIK3C,1.0,75.0,1.0,10.0,76.6003399,1.0,0.0,100.0,-27.5289,-1,ADAM17.PIK3C,TRAINSET
CAL-148,ADAM17,PIK3C,1.0,75.0,0.323156334,10.0,51.89935334,1.0,0.0,100.0,8.840474,-1,ADAM17.PIK3C,TRAINSET
CAMA-1,ADAM17,PIK3C,1.0,75.0,1.0,1.9510265,7.0333385,0.615639894,0.6087861,91.55943613,-7.76057,1,ADAM17.PIK3C,TRAINSET
HCC1143,ADAM17,PIK3C,1.0,75.0,0.325857111,10.0,67.79952442,1.0,0.0,100.0,17.38199,-1,ADAM17.PIK3C,TRAINSET
HCC1806,ADAM17,PIK3C,1.0,75.0,0.327702197,10.0,26.49892877,1.0,0.0,100.0,80.9991,1,ADAM17.PIK3C,TRAINSET
HCC70,ADAM17,PIK3C,1.0,75.0,0.359904181,10.0,42.59790667,1.0,0.0,100.0,36.66062,1,ADAM17.PIK3C,TRAINSET
Hs-578-T,ADAM17,PIK3C,1.0,75.0,0.238743003,2.7378506,51.67335823,75.0,10.0,71.20048099,-3.101995,-1,ADAM17.PIK3C,TRAINSET
MDA-MB-157,ADAM17,PIK3C,1.0,75.0,0.213489145,0.8908223,54.80015184,33.76955423,1.397694,92.88769551,34.97328,1,ADAM17.PIK3C,TRAINSET
MDA-MB-231,ADAM17,PIK3C,1.0,75.0,0.180376202,0.8966292,63.60149112,75.0,0.3864103,87.8022141,5.78087,1,ADAM17.PIK3C,TRAINSET
MDA-MB-453,ADAM17,PIK3C,1.0,75.0,0.217106729,2.8991948,13.0986261,1.0,0.0,100.0,11.19242,1,ADAM17.PIK3C,TRAINSET
MDA-MB-468,ADAM17,PIK3C,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-11.91822,1,ADAM17.PIK3C,TRAINSET
MFM-223,ADAM17,PIK3C,1.0,75.0,0.244419289,1.6967242,40.11335669,75.0,1.8437271,83.95964752,2.272833,1,ADAM17.PIK3C,TRAINSET
M14,ADAM17,PIK3C,1.0,75.0,0.308036694,10.0,55.09962372,0.0075,0.1,94.2352171,37.07141,1,ADAM17.PIK3C,TRAINSET
CAL-148,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.331855714,2.698131,17.086469,1.0,0.0,100.0,-22.06479,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC1143,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.221232701,0.7390243,61.40457616,0.88526659,10.0,84.99989563,34.24538,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC1187,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.309892385,10.0,74.4997625,1.0,0.0,100.0,3.157859,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC1395,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.088649987,0.3479042,41.86456382,75.0,1.0666862,83.89581448,10.67811,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC1428,ADAM17,PIK3CB_PIK3CD,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,8.341717,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC1806,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.186067205,1.6790956,90.48303234,75.0,0.1905866,91.42221993,2.673332,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
HCC38,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.128411677,1.1401404,83.14393235,1.0,0.0,100.0,12.29698,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
Hs-578-T,ADAM17,PIK3CB_PIK3CD,1.0,75.0,1.0,0.3251117,27.55487037,0.0075,0.1,71.47072724,8.182737,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
MDA-MB-157,ADAM17,PIK3CB_PIK3CD,1.0,75.0,1.0,0.219944,0.96308739,0.729082264,10.0,87.89998986,4.985632,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
MDA-MB-468,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.0001,0.1,94.07450183,1.0,0.0,100.0,13.55083,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
MFM-223,ADAM17,PIK3CB_PIK3CD,1.0,75.0,1.0,0.3926152,45.66550563,0.765201846,10.0,91.99998861,-15.22839,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
M14,ADAM17,PIK3CB_PIK3CD,1.0,75.0,0.475349779,0.6757956,0.0,0.461424392,1.4729437,82.67273131,31.87283,1,ADAM17.PIK3CB_PIK3CD,TRAINSET
CAMA-1,AKT,AKT_1,1.0,1.0,0.204065844,1.4750579,47.97346672,0.18219236,2.529306,33.50489924,13.01508,1,AKT.AKT_1,TRAINSET
MDA-MB-175-VII,AKT,AKT_1,1.0,1.0,0.232749752,3.4820866,41.34014977,0.295593619,10.0,44.4995876,-62.45628,-1,AKT.AKT_1,TRAINSET
UACC-812,AKT,AKT_1,1.0,1.0,1.0,0.0,100.0,1.0,0.0,100.0,26.35574,-3,AKT.AKT_1,TRAINSET
BFTC-905,AKT,ATR_4,3.0,3.0,0.980861481,1.9514052,0.87198217,0.431346599,1.3683925,29.29772121,-14.1991,1,AKT.ATR_4,TRAINSET
HT-1197,AKT,ATR_4,3.0,1.0,3.0,0.7437595,18.50990044,0.119006782,1.1677708,48.62600643,-12.90671,1,AKT.ATR_4,TRAINSET
HT-1376,AKT,ATR_4,3.0,3.0,0.99706367,10.0,38.8989183,0.184472029,0.707903,23.29124178,6.599677,1,AKT.ATR_4,TRAINSET
J82,AKT,ATR_4,3.0,3.0,0.781541949,2.760254,42.96683842,0.716815045,1.2008159,27.17444691,1.473032,1,AKT.ATR_4,TRAINSET
KU-19-19,AKT,ATR_4,3.0,3.0,2.861548235,10.0,0.0,1.0,0.0,100.0,-110.0582,-1,AKT.ATR_4,TRAINSET
SW780,AKT,ATR_4,3.0,3.0,3.0,0.8249136,78.10303711,0.292447559,1.4247541,19.475666,-10.00055,1,AKT.ATR_4,TRAINSET
T-24,AKT,ATR_4,3.0,3.0,1.024919271,10.0,7.69795337,1.0,0.0,100.0,-26.02004,1,AKT.ATR_4,TRAINSET
TCCSUP,AKT,ATR_4,3.0,3.0,0.640795998,2.1107639,19.07506049,0.510841254,0.7630883,52.13376867,-9.940468,1,AKT.ATR_4,TRAINSET
Calu-3,AKT,CSNK2A1_2,0.03,3.0,0.03,10.0,3.00001367,1.313229575,10.0,47.98656567,-29.08981,-1,AKT.CSNK2A1_2,TRAINSET
Calu-6,AKT,CSNK2A1_2,0.03,3.0,0.010394843,1.3717221,0.0,0.03633312,1.0720487,70.01248118,73.02446,1,AKT.CSNK2A1_2,TRAINSET
DMS-114,AKT,CSNK2A1_2,0.03,3.0,0.006695559,2.5214477,13.72056572,2.269013389,1.0746787,0.0,2.965218,1,AKT.CSNK2A1_2,TRAINSET
NCI-H1437,AKT,CSNK2A1_2,0.1,3.0,0.009332192,2.9569306,13.12352278,1.950900898,2.33301,0.0,84.61169,1,AKT.CSNK2A1_2,TRAINSET
NCI-H1703,AKT,CSNK2A1_2,0.1,3.0,0.010632726,3.2111803,11.33381982,0.006865193,0.6639496,9.70857688,20.9673,1,AKT.CSNK2A1_2,TRAINSET
NCI-H1793,AKT,CSNK2A1_2,0.1,3.0,0.011763718,1.6387627,5.02876153,3.0,1.1922244,44.49546473,86.79528,1,AKT.CSNK2A1_2,TRAINSET
NCI-H2085,AKT,CSNK2A1_2,0.03,3.0,0.015271873,1.0418354,3.10995756,3.0,0.6219385,13.14693631,27.41059,1,AKT.CSNK2A1_2,TRAINSET
NCI-H2228,AKT,CSNK2A1_2,0.1,3.0,0.03012002,0.7363036,0.0,0.346264705,0.5907502,0.0,42.21827,1,AKT.CSNK2A1_2,TRAINSET
NCI-H226,AKT,CSNK2A1_2,0.1,3.0,0.00469598,1.9189471,0.0,0.217059459,0.395664,0.0,64.27931,-2,AKT.CSNK2A1_2,TRAINSET
NCI-H23,AKT,CSNK2A1_2,0.1,3.0,0.006210403,1.1627392,5.59894814,0.349213203,0.3620847,0.0,24.16315,1,AKT.CSNK2A1_2,TRAINSET
NCI-H520,AKT,CSNK2A1_2,0.03,3.0,0.007807537,0.9154605,0.0,0.54896783,0.9130528,34.54187734,15.52841,1,AKT.CSNK2A1_2,TRAINSET
NCI-H522,AKT,CSNK2A1_2,0.03,3.0,0.003040817,10.0,7.34964368,0.175966979,0.4201401,0.0,25.75817,1,AKT.CSNK2A1_2,TRAINSET
CAMA-1,AKT,Chloroquine,1.0,1.0,1.0,0.0,100.0,0.154730759,3.4646384,42.06744168,13.53424,1,AKT.Chloroquine,TRAINSET
HCC1419,AKT,Chloroquine,1.0,1.0,1.0,0.0,100.0,0.303735336,10.0,56.29970238,-24.00694,-1,AKT.Chloroquine,TRAINSET
HCC1500,AKT,Chloroquine,1.0,1.0,0.356286842,10.0,71.69906182,1.0,1.4519821,34.25977111,4.386597,1,AKT.Chloroquine,TRAINSET
MCF7,AKT,Chloroquine,1.0,1.0,1.0,0.0,100.0,0.335637982,10.0,71.89948929,24.88766,1,AKT.Chloroquine,TRAINSET
MDA-MB-175-VII,AKT,Chloroquine,1.0,1.0,1.0,0.0,100.0,0.323680684,10.0,49.79926474,-72.85194,-1,AKT.Chloroquine,TRAINSET
UACC-812,AKT,Chloroquine,1.0,1.0,0.0001,0.1,75.7725,0.0001,0.1,86.37681855,-8.967205,-3,AKT.Chloroquine,TRAINSET
647-V,AKT,ERBB,0.1,3.0,0.1,0.8486178,49.82420243,0.407100412,1.3522296,4.19654909,-1.172512,1,AKT.ERBB,TRAINSET
BFTC-905,AKT,ERBB,3.0,3.0,1.0,0.0,100.0,0.304681813,10.0,54.69988135,114.3452,1,AKT.ERBB,TRAINSET
HT-1376,AKT,ERBB,1.0,3.0,0.09903298,0.8718467,45.59204666,0.185525235,0.7176284,30.00263589,58.82512,1,AKT.ERBB,TRAINSET
J82,AKT,ERBB,3.0,3.0,0.0003,0.1,86.13549347,1.505053852,0.7122453,0.0,23.4819,1,AKT.ERBB,TRAINSET
KU-19-19,AKT,ERBB,3.0,3.0,1.0,0.0,100.0,1.0,0.0,100.0,-138.7725,-1,AKT.ERBB,TRAINSET
VCaP,AKT,ERBB,3.0,1.0,0.814719284,2.5650621,77.34244917,0.437596829,1.3963082,57.87553132,5.142114,1,AKT.ERBB,TRAINSET
SW780,AKT,ERBB,3.0,3.0,1.0,0.0,100.0,0.274613381,1.2318373,17.27187079,-253.1437,-1,AKT.ERBB,TRAINSET
T-24,AKT,ERBB,3.0,3.0,1.28476503,10.0,84.09670069,1.0,0.0,100.0,-12.38291,1,AKT.ERBB,TRAINSET
UM-UC-3,AKT,ERBB,3.0,3.0,3.0,1.2211735,38.00279597,3.0,1.4874399,48.32013755,-4.028207,1,AKT.ERBB,TRAINSET
VM-CUB-1,AKT,ERBB,3.0,3.0,0.542024557,0.7473929,54.94004733,0.085045683,1.4922946,56.60549317,-1.960764,-3,AKT.ERBB,TRAINSET
647-V,AKT,FGFR,3.0,3.0,1.0,0.0,100.0,0.660360558,1.7819472,7.3889885,-41.87943,1,AKT.FGFR,TRAINSET
KU-19-19,AKT,FGFR,3.0,3.0,1.0,0.0,100.0,1.0,0.0,100.0,-90.52614,-1,AKT.FGFR,TRAINSET
22RV1,AKT,FGFR,3.0,1.0,3.0,10.0,49.80021686,0.098900794,10.0,75.54982509,-13.81908,1,AKT.FGFR,TRAINSET
22RV1,AKT,FGFR,3.0,1.0,3.0,1.1124338,28.23322981,0.245768687,4.036008,64.68045585,-3.384268,1,AKT.FGFR,TRAINSET
SW780,AKT,FGFR,3.0,3.0,3.0,10.0,59.40103676,0.226544243,1.0378806,13.98337761,-170.9453,-1,AKT.FGFR,TRAINSET
T-24,AKT,FGFR,3.0,3.0,1.0,0.0,100.0,1.0,0.0,100.0,-30.95454,1,AKT.FGFR,TRAINSET
TCCSUP,AKT,FGFR,3.0,3.0,0.031755742,1.6048452,57.970278,0.215065357,1.2950605,64.58618258,74.1667,1,AKT.FGFR,TRAINSET
UM-UC-3,AKT,FGFR,3.0,3.0,1.0,0.0,100.0,1.108597814,10.0,78.6989883,-4.248463,1,AKT.FGFR,TRAINSET
VM-CUB-1,AKT,FGFR,3.0,3.0,1.0,0.0,100.0,1.0,0.0,100.0,-267.1802,-1,AKT.FGFR,TRAINSET
BFTC-905,AKT,HDAC_4,3.0,3.0,0.555464265,2.7612569,19.39350323,0.301713897,10.0,50.79976644,2.133099,1,AKT.HDAC_4,TRAINSET
HCC1419,AKT,HDAC_4,1.0,1.0,1.0,0.0,100.0,0.299649432,10.0,49.09946378,-13.24663,-1,AKT.HDAC_4,TRAINSET
HCC1500,AKT,HDAC_4,1.0,1.0,0.4284829,1.78812,16.77832743,0.325242197,10.0,65.2995081,-24.86501,1,AKT.HDAC_4,TRAINSET
HT-1376,AKT,HDAC_4,3.0,3.0,0.419382659,2.7617318,35.95241359,0.079029537,0.989329,33.89094593,-12.20187,1,AKT.HDAC_4,TRAINSET
J82,AKT,HDAC_4,3.0,3.0,1.087978794,1.6053104,9.70792096,1.663640605,0.6002457,0.0,-5.847473,1,AKT.HDAC_4,TRAINSET
KU-19-19,AKT,HDAC_4,3.0,3.0,1.012615132,10.0,8.89813701,1.0,0.0,100.0,-39.09416,-1,AKT.HDAC_4,TRAINSET
MDA-MB-175-VII,AKT,HDAC_4,1.0,1.0,0.296815535,10.0,69.99976746,0.28840074,10.0,47.59971682,-50.90575,-1,AKT.HDAC_4,TRAINSET
SW780,AKT,HDAC_4,3.0,3.0,0.905737563,0.4727892,0.0,0.213523523,1.8105248,19.75892461,20.32464,1,AKT.HDAC_4,TRAINSET
T-24,AKT,HDAC_4,3.0,3.0,1.120697296,10.0,10.895278,1.0,0.0,100.0,-9.996189,1,AKT.HDAC_4,TRAINSET
TCCSUP,AKT,HDAC_4,3.0,3.0,0.601997228,1.1994691,0.0,0.082556326,0.667063,43.69435114,-16.70528,1,AKT.HDAC_4,TRAINSET
UACC-812,AKT,HDAC_4,1.0,1.0,1.0,2.6302895,46.81159364,1.0,2.1290049,2.08014303,-22.21899,1,AKT.HDAC_4,TRAINSET
VM-CUB-1,AKT,HDAC_4,3.0,3.0,1.052022255,2.5993724,31.48167267,0.414388268,2.2187608,76.88752771,1.081226,-3,AKT.HDAC_4,TRAINSET
BT-20,AKT,PIK3CA_4,1.0,1.0,0.208946057,1.2631686,58.79597362,0.190101078,3.2412186,78.74518968,12.91164,1,AKT.PIK3CA_4,TRAINSET
CAL-148,AKT,PIK3CA_4,1.0,1.0,1.0,0.9774867,25.19258049,0.135184258,1.2394181,0.0,9.595285,1,AKT.PIK3CA_4,TRAINSET
CAMA-1,AKT,PIK3CA_4,1.0,1.0,0.295412947,10.0,94.79995522,0.142178068,1.2971714,7.40032662,10.95871,1,AKT.PIK3CA_4,TRAINSET
DU-4475,AKT,PIK3CA_4,1.0,1.0,0.504695649,1.0092727,0.0,0.381480878,10.0,54.19700951,22.08577,1,AKT.PIK3CA_4,TRAINSET
HCC1187,AKT,PIK3CA_4,1.0,1.0,0.155579677,1.4474161,51.59351453,1.0,0.8931202,20.73036674,2.609344,1,AKT.PIK3CA_4,TRAINSET
HCC1937,AKT,PIK3CA_4,1.0,1.0,1.0,0.7151423,71.46127973,0.104668398,1.0415326,65.51742709,2.647406,1,AKT.PIK3CA_4,TRAINSET
MDA-MB-157,AKT,PIK3CA_4,1.0,1.0,1.0,0.3865394,52.74351148,0.203047686,3.2977051,52.68427356,-5.720383,1,AKT.PIK3CA_4,TRAINSET
MDA-MB-231,AKT,PIK3CA_4,1.0,1.0,0.293974105,10.0,91.09994438,1.0,0.8885027,72.06671095,-1.718373,1,AKT.PIK3CA_4,TRAINSET
MDA-MB-436,AKT,PIK3CA_4,1.0,1.0,0.28931649,3.0080575,85.76780278,0.189363794,2.9793118,72.95327884,-9.456454,1,AKT.PIK3CA_4,TRAINSET
MDA-MB-453,AKT,PIK3CA_4,1.0,1.0,0.148812841,0.874294,0.0,0.316040605,0.9931648,0.0,6.010587,1,AKT.PIK3CA_4,TRAINSET
