CELL_LINE,COMBINATION_ID,OBSERVATION
CAMA-1,AKT.PIK3C_2,-15.07413
HCC1143,AKT.PIK3C_2,-18.28101
HCC1428,AKT.PIK3C_2,1.231675
HCC1806,AKT.PIK3C_2,-15.70878
HCC1937,AKT.PIK3C_2,16.42842
HCC38,AKT.PIK3C_2,-2.30333
HCC70,AKT.PIK3C_2,-12.07315
Hs-578-T,AKT.PIK3C_2,0.2284273
MDA-MB-468,AKT.PIK3C_2,3.043114
M14,AKT.PIK3C_2,12.29004
BFTC-905,AKT.TNF,108.1946
HT-1197,AKT.TNF,35.02862
J82,AKT.TNF,37.71558
KU-19-19,AKT.TNF,-105.4095
SW780,AKT.TNF,24.32147
T-24,AKT.TNF,-5.950885
BT-20,AKT.AKT_1,20.26494
CAL-51,AKT.AKT_1,-14.69828
CAMA-1,AKT.AKT_1,4.071763
HCC1187,AKT.AKT_1,10.36244
HCC1428,AKT.AKT_1,9.317672
HCC1806,AKT.AKT_1,7.281745
HCC1937,AKT.AKT_1,2.248126
HCC70,AKT.AKT_1,-15.53357
Hs-578-T,AKT.AKT_1,12.73991
MDA-MB-157,AKT.AKT_1,10.64372
MDA-MB-231,AKT.AKT_1,-1.243352
MDA-MB-436,AKT.AKT_1,-13.70829
MDA-MB-453,AKT.AKT_1,17.30208
MFM-223,AKT.AKT_1,7.25458
M14,AKT.AKT_1,-6.729425
BT-549,AKT_1.PIK3C,22.94989
CAL-120,AKT_1.PIK3C,29.05815
CAMA-1,AKT_1.PIK3C,56.20645
DU-4475,AKT_1.PIK3C,27.79395
HCC1187,AKT_1.PIK3C,39.19775
HCC1806,AKT_1.PIK3C,71.09962
HCC70,AKT_1.PIK3C,48.69135
MDA-MB-157,AKT_1.PIK3C,22.51686
MDA-MB-231,AKT_1.PIK3C,27.26663
MDA-MB-453,AKT_1.PIK3C,34.57878
MDA-MB-468,AKT_1.PIK3C,64.39026
MFM-223,AKT_1.PIK3C,33.47378
CAL-51,AKT_1.PIK3CB_PIK3CD,0.33427
CAMA-1,AKT_1.PIK3CB_PIK3CD,79.41426
DU-4475,AKT_1.PIK3CB_PIK3CD,42.99064
HCC1143,AKT_1.PIK3CB_PIK3CD,-0.561607
HCC1428,AKT_1.PIK3CB_PIK3CD,-6.811293
HCC70,AKT_1.PIK3CB_PIK3CD,57.46938
MDA-MB-157,AKT_1.PIK3CB_PIK3CD,17.86787
MDA-MB-231,AKT_1.PIK3CB_PIK3CD,8.80018
MDA-MB-436,AKT_1.PIK3CB_PIK3CD,11.62825
MDA-MB-453,AKT_1.PIK3CB_PIK3CD,32.99623
MDA-MB-468,AKT_1.PIK3CB_PIK3CD,54.81554
MFM-223,AKT_1.PIK3CB_PIK3CD,49.47563
M14,AKT_1.PIK3CB_PIK3CD,38.00554
CAL-148,AKT_1.PIK3C_2,32.02186
CAL-51,AKT_1.PIK3C_2,27.4007
DU-4475,AKT_1.PIK3C_2,20.95919
HCC1395,AKT_1.PIK3C_2,3.220078
HCC1428,AKT_1.PIK3C_2,1.055999
HCC1806,AKT_1.PIK3C_2,43.48635
HCC38,AKT_1.PIK3C_2,17.88325
HCC70,AKT_1.PIK3C_2,10.23263
Hs-578-T,AKT_1.PIK3C_2,36.18777
MDA-MB-157,AKT_1.PIK3C_2,-7.4713
MDA-MB-231,AKT_1.PIK3C_2,11.91089
MDA-MB-436,AKT_1.PIK3C_2,-7.985494
MFM-223,AKT_1.PIK3C_2,17.62158
BT-20,AKT_SGK.BCL2_BCL2L1,6.61977
BT-549,AKT_SGK.BCL2_BCL2L1,28.28627
CAMA-1,AKT_SGK.BCL2_BCL2L1,33.1404
HCC1143,AKT_SGK.BCL2_BCL2L1,-11.27415
HCC1187,AKT_SGK.BCL2_BCL2L1,11.19432
HCC1428,AKT_SGK.BCL2_BCL2L1,23.92928
HCC70,AKT_SGK.BCL2_BCL2L1,-30.83873
Hs-578-T,AKT_SGK.BCL2_BCL2L1,19.10105
MDA-MB-157,AKT_SGK.BCL2_BCL2L1,20.24033
MDA-MB-436,AKT_SGK.BCL2_BCL2L1,-0.3813019
MDA-MB-468,AKT_SGK.BCL2_BCL2L1,18.89769
M14,AKT_SGK.BCL2_BCL2L1,15.99293
BT-20,AKT_SGK.FGFR,19.64844
CAL-120,AKT_SGK.FGFR,-4.723395
CAL-148,AKT_SGK.FGFR,-7.884005
DU-4475,AKT_SGK.FGFR,-35.27396
HCC1143,AKT_SGK.FGFR,-38.33838
HCC1187,AKT_SGK.FGFR,8.020787
HCC1395,AKT_SGK.FGFR,63.79015
HCC1428,AKT_SGK.FGFR,5.083751
HCC1806,AKT_SGK.FGFR,12.89611
MDA-MB-436,AKT_SGK.FGFR,-11.19866
MDA-MB-453,AKT_SGK.FGFR,-6.49964
MDA-MB-468,AKT_SGK.FGFR,-3.211112
BT-20,AKT_SGK.MAP2K_1,20.09961
BT-549,AKT_SGK.MAP2K_1,28.68771
CAL-148,AKT_SGK.MAP2K_1,6.673409
CAL-51,AKT_SGK.MAP2K_1,9.47785
CAMA-1,AKT_SGK.MAP2K_1,28.05505
DU-4475,AKT_SGK.MAP2K_1,7.070362
HCC1395,AKT_SGK.MAP2K_1,32.23424
HCC1937,AKT_SGK.MAP2K_1,20.91369
HCC38,AKT_SGK.MAP2K_1,-13.19094
HCC70,AKT_SGK.MAP2K_1,34.50574
MFM-223,AKT_SGK.MAP2K_1,17.40815
M14,AKT_SGK.MAP2K_1,9.312902
BT-20,AKT_SGK.PIK3C,17.68523
CAL-120,AKT_SGK.PIK3C,26.76804
CAL-51,AKT_SGK.PIK3C,17.15858
DU-4475,AKT_SGK.PIK3C,-18.41464
HCC1806,AKT_SGK.PIK3C,14.02318
HCC1937,AKT_SGK.PIK3C,10.86356
HCC70,AKT_SGK.PIK3C,4.560273
Hs-578-T,AKT_SGK.PIK3C,-2.879886
MDA-MB-157,AKT_SGK.PIK3C,1.496421
MDA-MB-231,AKT_SGK.PIK3C,16.45965
MFM-223,AKT_SGK.PIK3C,28.35215
M14,AKT_SGK.PIK3C,11.83184
BT-20,AKT.ALK_IGFR,45.51825
CAL-120,AKT.ALK_IGFR,-0.327511
CAL-148,AKT.ALK_IGFR,29.1901
CAMA-1,AKT.ALK_IGFR,31.27616
DU-4475,AKT.ALK_IGFR,-35.5294
HCC1395,AKT.ALK_IGFR,28.49871
Hs-578-T,AKT.ALK_IGFR,39.41124
MDA-MB-157,AKT.ALK_IGFR,53.44158
MDA-MB-231,AKT.ALK_IGFR,10.79615
MDA-MB-436,AKT.ALK_IGFR,-0.8797212
MDA-MB-468,AKT.ALK_IGFR,32.18546
M14,AKT.ALK_IGFR,0.8111451
BT-549,AKT_1.ALK_IGFR,9.032871
CAL-120,AKT_1.ALK_IGFR,-10.4865
CAL-148,AKT_1.ALK_IGFR,-9.584415
CAL-51,AKT_1.ALK_IGFR,4.471512
CAMA-1,AKT_1.ALK_IGFR,5.739879
DU-4475,AKT_1.ALK_IGFR,10.68538
HCC1143,AKT_1.ALK_IGFR,14.53491
HCC1395,AKT_1.ALK_IGFR,11.77991
HCC1428,AKT_1.ALK_IGFR,-20.63159
HCC70,AKT_1.ALK_IGFR,12.89628
MDA-MB-453,AKT_1.ALK_IGFR,-3.880877
MDA-MB-468,AKT_1.ALK_IGFR,28.48793
M14,AKT_1.ALK_IGFR,-14.95205
BT-549,ALK_IGFR.MTOR_1,5.22171
CAL-51,ALK_IGFR.MTOR_1,20.21112
CAMA-1,ALK_IGFR.MTOR_1,28.44153
HCC1187,ALK_IGFR.MTOR_1,13.26753
HCC1428,ALK_IGFR.MTOR_1,-5.774149
HCC1806,ALK_IGFR.MTOR_1,36.16877
HCC38,ALK_IGFR.MTOR_1,30.53991
HCC70,ALK_IGFR.MTOR_1,12.10537
Hs-578-T,ALK_IGFR.MTOR_1,8.068145
MDA-MB-231,ALK_IGFR.MTOR_1,42.25022
MDA-MB-436,ALK_IGFR.MTOR_1,18.19243
MDA-MB-468,ALK_IGFR.MTOR_1,12.077
M14,ALK_IGFR.MTOR_1,5.749554
BT-549,ALK_IGFR.PIK3CB_PIK3CD,13.93663
CAL-120,ALK_IGFR.PIK3CB_PIK3CD,11.48412
CAL-148,ALK_IGFR.PIK3CB_PIK3CD,3.043039
CAL-51,ALK_IGFR.PIK3CB_PIK3CD,9.015093
HCC1143,ALK_IGFR.PIK3CB_PIK3CD,10.02868
HCC38,ALK_IGFR.PIK3CB_PIK3CD,14.24153
HCC70,ALK_IGFR.PIK3CB_PIK3CD,44.32309
Hs-578-T,ALK_IGFR.PIK3CB_PIK3CD,27.14285
MDA-MB-157,ALK_IGFR.PIK3CB_PIK3CD,52.80788
MDA-MB-231,ALK_IGFR.PIK3CB_PIK3CD,38.33444
MDA-MB-436,ALK_IGFR.PIK3CB_PIK3CD,30.64062
MDA-MB-468,ALK_IGFR.PIK3CB_PIK3CD,92.87635
M14,ALK_IGFR.PIK3CB_PIK3CD,30.27861
BT-549,AKT.ATR_4,-49.69178
CAL-148,AKT.ATR_4,10.17878
DU-4475,AKT.ATR_4,-10.7695
HCC1806,AKT.ATR_4,14.69232
HCC38,AKT.ATR_4,-36.16691
HCC70,AKT.ATR_4,6.567307
Hs-578-T,AKT.ATR_4,-33.64423
MDA-MB-157,AKT.ATR_4,32.22192
MDA-MB-453,AKT.ATR_4,15.71279
MFM-223,AKT.ATR_4,-5.980718
M14,AKT.ATR_4,-21.10702
CAL-120,ATR_4.BCL2_BCL2L1,-19.63386
CAL-51,ATR_4.BCL2_BCL2L1,1.97932
CAMA-1,ATR_4.BCL2_BCL2L1,20.53447
HCC1143,ATR_4.BCL2_BCL2L1,-29.95077
HCC1187,ATR_4.BCL2_BCL2L1,-1.637312
HCC38,ATR_4.BCL2_BCL2L1,-12.10795
HCC70,ATR_4.BCL2_BCL2L1,1.888488
MDA-MB-231,ATR_4.BCL2_BCL2L1,-29.93607
MDA-MB-453,ATR_4.BCL2_BCL2L1,33.05702
MDA-MB-468,ATR_4.BCL2_BCL2L1,18.67573
BT-20,ATR_4.MAP2K_1,-11.71682
BT-549,ATR_4.MAP2K_1,-23.596
CAL-148,ATR_4.MAP2K_1,-11.95551
CAL-51,ATR_4.MAP2K_1,9.969917
DU-4475,ATR_4.MAP2K_1,-13.59996
HCC1143,ATR_4.MAP2K_1,-32.06693
HCC1937,ATR_4.MAP2K_1,-37.8388
HCC38,ATR_4.MAP2K_1,70.78618
Hs-578-T,ATR_4.MAP2K_1,-39.51091
MDA-MB-157,ATR_4.MAP2K_1,15.21608
MDA-MB-453,ATR_4.MAP2K_1,-35.10474
MDA-MB-468,ATR_4.MAP2K_1,4.146128
MFM-223,ATR_4.MAP2K_1,-19.08514
M14,ATR_4.MAP2K_1,-28.62173
CAL-51,ATR_4.MTOR_1,-12.53156
DU-4475,ATR_4.MTOR_1,12.13703
HCC1395,ATR_4.MTOR_1,-15.95583
HCC1428,ATR_4.MTOR_1,-35.0508
HCC1937,ATR_4.MTOR_1,-36.29478
HCC38,ATR_4.MTOR_1,-25.05916
HCC70,ATR_4.MTOR_1,-33.24525
Hs-578-T,ATR_4.MTOR_1,-92.87831
MDA-MB-157,ATR_4.MTOR_1,-53.78609
MDA-MB-231,ATR_4.MTOR_1,-29.82461
MDA-MB-468,ATR_4.MTOR_1,-17.81088
MFM-223,ATR_4.MTOR_1,-17.05449
M14,ATR_4.MTOR_1,-37.95759
A549,BCL2.CarboTaxol,21.7906
Calu-3,BCL2.CarboTaxol,-23.99655
Calu-6,BCL2.CarboTaxol,5.015081
NCI-H1299,BCL2.CarboTaxol,13.44038
NCI-H1563,BCL2.CarboTaxol,-43.49556
NCI-H1703,BCL2.CarboTaxol,-11.26686
NCI-H1793,BCL2.CarboTaxol,34.05646
NCI-H2085,BCL2.CarboTaxol,81.91457
NCI-H2170,BCL2.CarboTaxol,-25.26779
NCI-H226,BCL2.CarboTaxol,12.85776
NCI-H3122,BCL2.CarboTaxol,-2.541587
NCI-H520,BCL2.CarboTaxol,2.676949
SW900,BCL2.CarboTaxol,45.02714
COLO-205,BCL2.IGFR_4,1.200509
HCT-116,BCL2.IGFR_4,-322.917
HT-29,BCL2.IGFR_4,-18.90988
RKO,BCL2.IGFR_4,-24.40014
SW620,BCL2.IGFR_4,9.376265
SW837,BCL2.IGFR_4,7.891496
HCT-116,BCL2.MAP2K_1,-398.8432
NCI-H747,BCL2.MAP2K_1,23.4814
RKO,BCL2.MAP2K_1,51.79689
SW620,BCL2.MAP2K_1,-17.58036
SW837,BCL2.MAP2K_1,16.71756
SW948,BCL2.MAP2K_1,57.30354
COLO-205,BCL2.Oxaliplatin,-4.177698
COLO-205,BCL2.Oxaliplatin,-8.298241
HCT-116,BCL2.Oxaliplatin,-186.8794
HCT-116,BCL2.Oxaliplatin,45.0912
RKO,BCL2.Oxaliplatin,-3.900104
RKO,BCL2.Oxaliplatin,-88.01904
SW48,BCL2.Oxaliplatin,59.1182
SW48,BCL2.Oxaliplatin,33.7206
SW620,BCL2.Oxaliplatin,-1.120614
SW620,BCL2.Oxaliplatin,13.35156
SW948,BCL2.Oxaliplatin,-5.588891
SW948,BCL2.Oxaliplatin,-3.031516
A549,BCL2.Topotecan,33.01095
Calu-3,BCL2.Topotecan,-32.56466
Calu-6,BCL2.Topotecan,20.66254
NCI-H1299,BCL2.Topotecan,34.28769
NCI-H1437,BCL2.Topotecan,-13.91897
NCI-H1975,BCL2.Topotecan,28.82544
NCI-H2085,BCL2.Topotecan,13.32488
NCI-H2170,BCL2.Topotecan,1.463783
NCI-H2228,BCL2.Topotecan,21.5562
NCI-H2291,BCL2.Topotecan,-5.343665
NCI-H522,BCL2.Topotecan,31.89227
NCI-H838,BCL2.Topotecan,27.15836
SW900,BCL2.Topotecan,37.37314
BT-20,AKT_1.BCL2_2,25.53357
EVSA-T,AKT_1.BCL2_2,-5.806061
HCC1187,AKT_1.BCL2_2,11.67935
HCC1419,AKT_1.BCL2_2,8.925112
HCC1569,AKT_1.BCL2_2,-3.897672
HCC1954,AKT_1.BCL2_2,-43.42709
MCF7,AKT_1.BCL2_2,22.46324
MDA-MB-361,AKT_1.BCL2_2,6.184136
MDA-MB-436,AKT_1.BCL2_2,16.67653
MDA-MB-453,AKT_1.BCL2_2,-15.33801
BT-549,AKT_1.BCL2_BCL2L1,8.523461
CAL-148,AKT_1.BCL2_BCL2L1,10.64219
CAMA-1,AKT_1.BCL2_BCL2L1,15.16021
DU-4475,AKT_1.BCL2_BCL2L1,0.7674337
HCC1187,AKT_1.BCL2_BCL2L1,-1.40555
HCC1937,AKT_1.BCL2_BCL2L1,14.94563
HCC38,AKT_1.BCL2_BCL2L1,15.21561
HCC70,AKT_1.BCL2_BCL2L1,-7.565757
Hs-578-T,AKT_1.BCL2_BCL2L1,-2.610332
MDA-MB-468,AKT_1.BCL2_BCL2L1,29.662
MFM-223,AKT_1.BCL2_BCL2L1,14.16864
M14,AKT_1.BCL2_BCL2L1,19.4639
647-V,ATR_4.BCL2_BCL2L1,6.567665
BFTC-905,ATR_4.BCL2_BCL2L1,20.57419
HT-1197,ATR_4.BCL2_BCL2L1,14.3023
HT-1376,ATR_4.BCL2_BCL2L1,-9.038782
J82,ATR_4.BCL2_BCL2L1,-47.5512
KU-19-19,ATR_4.BCL2_BCL2L1,5.012003
TCCSUP,ATR_4.BCL2_BCL2L1,12.53989
UM-UC-3,ATR_4.BCL2_BCL2L1,40.95128
VM-CUB-1,ATR_4.BCL2_BCL2L1,2.390643
CAL-51,BCL2_BCL2L1.FGFR,4.53158
CAMA-1,BCL2_BCL2L1.FGFR,-24.96139
DU-4475,BCL2_BCL2L1.FGFR,-1.522478
HCC1143,BCL2_BCL2L1.FGFR,-4.378617
HCC1428,BCL2_BCL2L1.FGFR,-46.11111
HCC1806,BCL2_BCL2L1.FGFR,2.45113
HCC38,BCL2_BCL2L1.FGFR,8.291264
HCC70,BCL2_BCL2L1.FGFR,-41.02046
Hs-578-T,BCL2_BCL2L1.FGFR,11.37323
MDA-MB-157,BCL2_BCL2L1.FGFR,24.03855
MDA-MB-436,BCL2_BCL2L1.FGFR,-9.931216
MDA-MB-453,BCL2_BCL2L1.FGFR,16.31893
MDA-MB-468,BCL2_BCL2L1.FGFR,28.8835
BT-20,BCL2_BCL2L1.MAP2K_1,14.85647
BT-549,BCL2_BCL2L1.MAP2K_1,19.35662
CAL-51,BCL2_BCL2L1.MAP2K_1,-1.698441
CAMA-1,BCL2_BCL2L1.MAP2K_1,12.95588
DU-4475,BCL2_BCL2L1.MAP2K_1,0.3758422
HCC1187,BCL2_BCL2L1.MAP2K_1,-8.885992
HCC1395,BCL2_BCL2L1.MAP2K_1,-2.01211
HCC1806,BCL2_BCL2L1.MAP2K_1,-0.1645953
MDA-MB-231,BCL2_BCL2L1.MAP2K_1,-1.035023
MFM-223,BCL2_BCL2L1.MAP2K_1,-22.51192
M14,BCL2_BCL2L1.MAP2K_1,33.06074
BT-20,BCL2_BCL2L1.PIK3CA_4,17.25327
CAL-148,BCL2_BCL2L1.PIK3CA_4,-7.164776
CAL-51,BCL2_BCL2L1.PIK3CA_4,14.90884
CAMA-1,BCL2_BCL2L1.PIK3CA_4,-18.13011
HCC1143,BCL2_BCL2L1.PIK3CA_4,6.665121
HCC1395,BCL2_BCL2L1.PIK3CA_4,-17.58875
HCC1428,BCL2_BCL2L1.PIK3CA_4,-1.859749
HCC1806,BCL2_BCL2L1.PIK3CA_4,-9.873476
HCC1937,BCL2_BCL2L1.PIK3CA_4,11.02137
MDA-MB-231,BCL2_BCL2L1.PIK3CA_4,12.39044
MDA-MB-453,BCL2_BCL2L1.PIK3CA_4,12.54289
MDA-MB-468,BCL2_BCL2L1.PIK3CA_4,-3.593691
BT-20,AKT.BCL2L1,90.44495
BT-474,AKT.BCL2L1,118.1512
EVSA-T,AKT.BCL2L1,-4.365317
HCC1187,AKT.BCL2L1,28.93864
HCC1569,AKT.BCL2L1,58.2951
HCC70,AKT.BCL2L1,2.542528
MDA-MB-415,AKT.BCL2L1,14.21987
MDA-MB-436,AKT.BCL2L1,-9.101048
MDA-MB-468,AKT.BCL2L1,12.64914
T47D,AKT.BCL2L1,21.49142
BT-20,AKT_1.BCL2L1,28.39611
BT-474,AKT_1.BCL2L1,68.97629
EVSA-T,AKT_1.BCL2L1,-6.225716
HCC1395,AKT_1.BCL2L1,-36.15216
HCC1569,AKT_1.BCL2L1,34.56813
HCC1954,AKT_1.BCL2L1,54.85981
HCC70,AKT_1.BCL2L1,1.768877
MCF7,AKT_1.BCL2L1,18.67458
MDA-MB-468,AKT_1.BCL2L1,-26.72691
T47D,AKT_1.BCL2L1,-2.339365
BT-474,BCL2L1.MTOR_1,36.22799
HCC1419,BCL2L1.MTOR_1,-2.710603
HCC1569,BCL2L1.MTOR_1,32.77316
HCC1954,BCL2L1.MTOR_1,62.07536
MCF7,BCL2L1.MTOR_1,7.439029
MDA-MB-157,BCL2L1.MTOR_1,33.89171
MDA-MB-361,BCL2L1.MTOR_1,36.53315
MDA-MB-415,BCL2L1.MTOR_1,56.23353
MDA-MB-468,BCL2L1.MTOR_1,-52.43165
T47D,BCL2L1.MTOR_1,2.610545
BT-474,BCL2L1.PIK3C,80.88263
CAMA-1,BCL2L1.PIK3C,31.33833
EVSA-T,BCL2L1.PIK3C,-1.924536
HCC1187,BCL2L1.PIK3C,42.93897
HCC1395,BCL2L1.PIK3C,-35.29034
HCC1569,BCL2L1.PIK3C,34.69914
HCC70,BCL2L1.PIK3C,-49.92337
MDA-MB-157,BCL2L1.PIK3C,40.40864
