CELL_LINE,COMBINATION_ID,SYNERGY_SCORE,PREDICTION,ERROR,ERROR_NORM
NCI-H2291,ATR_4.IAP,2.858895,8.78193513761,-5.92304013761,-2.07179352079
TCCSUP,FGFR.MTOR_1,30.94798,57.1827950848,-26.2348150848,-0.847706864383
HCC70,AKT.TNKS_PARP6,20.43694,8.15023832055,12.2867016795,0.6012006533
NCI-H1975,BRAF_M.MAP2K_1,-5.738417,12.1743681041,-17.9127851041,3.12155514388
NCI-H1437,ALK.EGFR_2,-2.729943,31.6150573087,-34.3450003087,12.5808488707
NCI-H358,CSNK2A1_2.Gemcitabine,-13.62375,6.54167413427,-20.1654241343,1.48016692425
MDA-MB-157,AKT.PIK3CA_4,-5.720383,12.78205162,-18.50243462,3.23447479303
BT-549,MTOR_1.PIK3C,0.9634879,9.01520762057,-8.05171972057,-8.3568457067
SW900,ADAM17.PIK3C,11.75751,13.2801539295,-1.5226439295,-0.129503945096
HCC1428,MAP2K_1.PIP5K1,-8.722925,-3.5439905587,-5.1789344413,0.593715346779
TCCSUP,Gemcitabine.PARP1,-1.577607,4.88308696433,-6.46069396433,4.09524930121
A549,CarboTaxol.CSNK2A1_2,-12.31963,11.7107945768,-24.0304245768,1.95058005612
HCC1954,ERBB.MTOR_1,58.95993,-16.4360589902,75.3959889902,1.27876659606
HCC70,AKT_1.BCL2L1,1.768877,7.48187105403,-5.71299405403,-3.22972940121
NCI-H1793,PIM1.TOP2_2,46.48285,35.3424566029,11.1403933971,0.239666745845
NCI-H2291,BRAF_M.MAP2K_1,-30.39527,8.27892238407,-38.6741923841,1.27237535261
NCI-H2170,ALK.CSNK2A1_2,-11.04481,-2.95749317907,-8.08731682093,0.732227790331
CAL-120,ATR_4.BCL2_BCL2L1,-19.63386,6.10022475667,-25.7340847567,1.31069920824
647-V,BCL2_BCL2L1.FGFR,-24.74415,-2.64840052334,-22.0957494767,0.892968619923
SW948,BCL2.Oxaliplatin,-3.031516,8.76575042314,-11.7972664231,3.89154021392
MFM-223,AKT.ATR_4,-5.980718,-6.59063734379,0.60991934379,-0.101980956766
MDA-MB-436,ESR1_3.MTOR_1,-125.7819,1.75093779733,-127.532837797,1.01392042732
MCF7,FGFR.Proteasome_2,-2.983597,6.02139846047,-9.00499546047,3.01816748725
NCI-H3122,PIM1.TOP2_2,25.8169,16.0719492036,9.7449507964,0.377464017616
HCT-116,IAP.IGFR_4,-317.6475,-146.217581149,-171.429918851,0.539686032004
SW780,FGFR.Proteasome_2,-62.13382,-6.6407127907,-55.4931072093,0.893122412388
HCC1187,ESR1.MAP2K_1,26.22214,-0.060438409159,26.2825784092,1.00230486181
MDA-MB-453,AKT.PIK3CA_4,6.010587,1.9353940157,4.0751929843,0.678002495314
CAL-120,AKT.PIK3C_2,-0.5383151,9.43625983086,-9.97457493086,18.5292497477
MCF7,ESR1_1.PIK3C,71.06812,9.82189550707,61.2462244929,0.861796041501
NCI-H226,BRAF_M2.MAP2K_3,46.49948,107.708186284,-61.208706284,-1.31633098443
SW900,BCL2.CarboTaxol,45.02714,20.2593151972,24.7678248028,0.550064356803
BT-474,AKT.BCL2L1,118.1512,54.2762933458,63.8749066542,0.540620041559
MCF7,AKT.Chloroquine,9.967568,14.0908349175,-4.1232669175,-0.413668300783
MCF7,MTOR_1.PIK3C,19.36093,21.1226220312,-1.7616920312,-0.0909921182092
CAL-51,AKT_1.PIK3CB_PIK3CD,0.33427,13.0845584783,-12.7502884783,-38.1436816894
MDA-MB-453,AKT.ALK_IGFR,5.656754,7.56248359296,-1.90572959296,-0.336894549942
NCI-H1793,ALK_2.MTOR_1,57.63945,29.0719576129,28.5674923871,0.495623958714
CAMA-1,MTOR_1.PIK3CA_4,-13.79611,3.45307509989,-17.2491850999,1.25029338704
DMS-114,PIM1.TOP2_2,44.70102,14.8264196503,29.8746003497,0.668320328031
BFTC-905,HSP90.PARP1,17.14019,16.1218959607,1.0182940393,0.0594097287895
BT-474,AKT_1.ESR1_1,25.40946,28.771456894,-3.361996894,-0.132312803735
CAL-120,ESR1.MAP2K_1,13.94696,1.57329037477,12.3736696252,0.887194745323
Calu-3,BCL2.CarboTaxol,-23.99655,-26.6181425721,2.6215925721,-0.109248728342
HCC1143,AKT_1.EGFR,23.01569,13.9095962358,9.1060937642,0.39564721997
A549,PIK3CB.Topotecan,-1.348835,18.5192061699,-19.8680411699,14.7297787868
MDA-MB-231,MAP2K_1.PIM1,18.82947,10.206386567,8.623083433,0.457956779081
CAL-120,AKT_SGK.PIK3C,26.76804,13.7894069603,12.9786330397,0.484855560575
CAL-120,PIK3CB_PIK3CD.SLC16A4,8.528798,4.31378643511,4.21501156489,0.494209332299
NCI-H520,IAP.Topotecan,17.98231,1.25931049071,16.7229995093,0.929969481634
NCI-H2085,IAP.TOP2_2,23.87985,18.7680829181,5.1117670819,0.21406194268
EVSA-T,AKT.Chloroquine,1.589139,-2.55659848788,4.14573748788,2.60879475482
HCC1395,Chloroquine.PIK3C,42.67767,2.79585252966,39.8818174703,0.934489100983
CAL-120,ALK_IGFR.MTOR_1,37.86855,15.5810195753,22.2875304247,0.588549876473
MDA-MB-468,AKT.ALK_IGFR,32.18546,26.7535265012,5.4319334988,0.168769795392
BT-549,AKT_1.PIK3C,22.94989,21.210526231,1.739363769,0.0757896342423
BFTC-905,MTOR_1.PIK3C,38.76654,15.0343003869,23.7322396131,0.612183589588
A549,BCL2_2.Vinorelbine,-5.017739,10.7042868235,-15.7220258235,3.1332888824
KU-19-19,PIK3C.TNFSF10,-117.0729,-103.59281702,-13.48008298,0.115142641722
MDA-MB-453,MAP2K_3.PIK3C,-46.61906,20.5145406615,-67.1336006615,1.44004620989
CAMA-1,Chloroquine.FGFR,20.50806,-6.21449884058,26.7225588406,1.3030271435
MDA-MB-453,BCL2_BCL2L1.SLC16A4,2.552621,7.72434392728,-5.17172292728,-2.02604418254
LS-513,MAP2K_1.PIK3C,21.42163,33.2292873239,-11.8076573239,-0.551202561332
CAL-51,BCL2_BCL2L1.FGFR,4.53158,-12.1633409352,16.6949209352,3.68412803817
BFTC-905,ATR_4.HDAC_4,-24.89871,-15.3941093515,-9.5046006485,0.381730645825
NCI-H226,ALK_2.MTOR_1,43.55755,24.7262078017,18.8313421983,0.432332447493
HCC1937,BCL2_BCL2L1.FGFR,8.641153,-16.5031261455,25.1442791455,2.90982917968
HCC1937,ATR_4.MTOR_1,-36.29478,-3.22472555365,-33.0700544463,0.911151808782
NCI-H2228,IAP.Vinorelbine,31.61591,19.0615409298,12.5543690702,0.397090233057
HCC1187,IAP.PIK3C,-37.31287,16.0938528063,-53.4067228063,1.43132176127
MDA-MB-436,AKT_SGK.FGFR,-11.19866,-2.94642657183,-8.25223342817,0.736894720276
M14,PARP1.PIK3C,48.7638,14.5154366925,34.2483633075,0.702331715484
MDA-MB-468,BRAF_M2.MAP2K_3,123.8324,95.0252047733,28.8071952267,0.232630516946
MDA-MB-468,ADAM17.BCL2_BCL2L1,-8.476032,5.50060740632,-13.9766394063,1.64896019816
BT-20,MTOR_1.PIK3C,14.62486,19.6710199726,-5.0461599726,-0.345039882269
NCI-H1703,AKT.FGFR,-13.64501,-4.68011084027,-8.96489915973,0.657009350651
HT-1197,EG5.PARP1,1.69967,0.00415226506605,1.69551773493,0.997557016911
NCI-H2170,CarboTaxol.CSNK2A1_2,-37.64538,-29.5671409822,-8.0782390178,0.214587793185
HCC1187,ESR1_3.MTOR_1,41.05598,8.18581397908,32.8701660209,0.800618229571
CAL-148,ALK_IGFR.PIK3CB_PIK3CD,3.043039,2.28354740974,0.75949159026,0.249583258795
CAL-51,AKT_1.PIK3C_2,27.4007,16.4402595661,10.9604404339,0.400005855102
MDA-MB-468,BCL2_BCL2L1.FASN,45.53811,0.645167238255,44.8929427617,0.985832366819
BT-474,AKT_1.BCL2L1,68.97629,74.2613544466,-5.2850644466,-0.0766214658196
HCC70,BRAF_M2.MAP2K_1,33.95715,27.9967162053,5.9604337947,0.175528093338
HCC1937,MTOR_1.TNKS_PARP6,3.399323,14.1377318616,-10.7384088616,-3.1589845571
647-V,IAP.TNF,-1.557282,62.7223307181,-64.2796127181,41.2767968281
647-V,AKT.ERBB,-1.172512,16.5774623607,-17.7499743607,15.1384159486
SW900,IAP.PIK3CB,-2.865059,14.0689988584,-16.9340578584,5.91054420115
NCI-H1563,CarboTaxol.CSNK2A1_2,-18.09395,-4.34036880067,-13.7535811993,0.76012043801
SW780,AKT.ATR_4,-10.00055,-28.0354433798,18.0348933798,-1.80339015152
CAL-148,MAP2K_1.SLC16A4,30.3659,-1.8382220907,32.2041220907,1.0605357355
CAL-51,ESR1.MAP2K_1,2.210563,-1.30942941897,3.51999241897,1.59235109742
MDA-MB-231,BCL2_BCL2L1.PIM1,59.91482,25.5321049212,34.3827150788,0.573859941143
SW48,BRAF_M2.MAP2K_1,50.51814,32.1539037434,18.3642362566,0.363517664281
RKO,IAP.SN38,48.04435,24.4241969602,23.6201530398,0.491632273926
HCC1569,AKT.CSNK2A1_2,2.081019,6.39989100242,-4.31887200242,-2.07536404157
BT-20,BCL2L1.IAP,102.0156,42.314076046,59.701523954,0.585219554205
BT-549,ALK_IGFR.MTOR_1,5.22171,12.6810704505,-7.4593604505,-1.42852828872
HCC1937,PIK3C.PIM1,-0.630942,23.196684688,-23.827626688,37.765161755
C32,MAP2K_1.PIK3C,65.79356,23.1961334392,42.5974265608,0.647440669889
MDA-MB-468,AKT.BCL2L1,12.64914,22.1777385864,-9.5285985864,-0.753300112608
Calu-6,IAP.PIK3C,2.426966,17.1283258158,-14.7013598158,-6.05750546806
MCF7,ATR_4.CarboTaxol,-6.973714,-8.57091001033,1.59719601033,-0.229030902376
HCC1143,FGFR.TNKS_PARP6,0.5520839,0.673599533149,-0.121515633149,-0.220103562428
HT-1197,ERBB.MAP2K_1,-0.2337827,19.0265862956,-19.2603689956,82.3857753187
NCI-H2291,IAP.PIK3CB,6.385782,17.5023575401,-11.1165755401,-1.74083229589
NCI-H1793,CSNK2A1_2.SYK,61.05855,37.5355093698,23.5230406302,0.385253836362
NCI-H522,BCL2.CarboTaxol,16.98015,19.2000215467,-2.2198715467,-0.130733329605
BFTC-905,AKT.ATR_4,-14.1991,1.34421113132,-15.5433111313,1.09466875586
SW620,BCL2.MAP2K_1,-17.58036,16.3900548176,-33.9704148176,1.93229346939
MCF7,AKT_1.Chloroquine,-95.40361,-1.50084413866,-93.9027658613,0.984268476438
Calu-6,BCL2L1.Vinorelbine,16.72941,32.0341565439,-15.3047465439,-0.914840783022
NCI-H2228,CSNK2A1_2.PIK3CA_3,30.77961,18.4261573156,12.3534526844,0.401351826238
MDA-MB-231,ALK_IGFR.MTOR_1,42.25022,16.3499891002,25.9002308998,0.613020024506
HCC1428,ALK_IGFR.MTOR_1,-5.774149,-0.579955189291,-5.19419381071,0.899560058237
HCC70,Chloroquine.PIK3C,24.48868,3.39061183304,21.098068167,0.861543707826
MDA-MB-436,ADAM17.BCL2_BCL2L1,-1.782822,-1.52801786448,-0.25480413552,0.142921803478
CAL-148,BCL2_BCL2L1.FGFR,10.74788,-17.1560567235,27.9039367235,2.59622704417
CAMA-1,AKT_1.EGFR_2,-6.894141,21.4271993593,-28.3213403593,4.10803033464
NCI-H23,AKT.CSNK2A1_2,24.16315,-2.52647445095,26.689624451,1.10455898552
HT-1376,MAP2K_1.PIK3C,31.89342,27.8888802834,4.0045397166,0.125560059617
HCC1187,MAP2K_1.PIP5K1,4.297028,3.20320551205,1.09382248795,0.254553260521
HCC38,AKT.AKT_1,-26.97995,9.96282492828,-36.9427749283,1.36926773134
NCI-H2228,CarboTaxol.CSNK2A1_2,6.70019,8.57834771467,-1.87815771467,-0.28031409776
T47D,ATR_4.CarboTaxol,-32.39221,-25.8646006388,-6.5276093612,0.201517876094
HT-29,IAP.JAK,-4.91609,9.60574283005,-14.5218328301,2.95393958004
NCI-H1975,BCL2_2.Vinorelbine,-26.29248,1.0739738756,-27.3664538756,1.04084718808
Hs-578-T,MTOR_1.TNKS_PARP6,3.433078,3.68201943561,-0.24894143561,-0.0725126069405
HCC70,AKT.ATR_4,6.567307,-7.58219504255,14.1495020426,2.1545364093
NCI-H838,Doxorubicin.IAP,8.5456,22.1329258565,-13.5873258565,-1.58997915378
KU-19-19,HSP90.PIK3C,-36.68453,-77.1595771471,40.4750471471,-1.10332740114
NCI-H1703,CSNK2A1_2.PIK3CA_3,2.493606,12.5522294912,-10.0586234912,-4.0337661568
T-24,BCL2_BCL2L1.FGFR,7.704466,-16.1416182462,23.8460842462,3.09509890059
MDA-MB-231,AKT.ATR_4,-15.84111,-1.57981280308,-14.2612971969,0.900271331802
MDA-MB-453,ALK_IGFR.MTOR_1,1.396803,3.2847029519,-1.8878999519,-1.35158640975
KU-19-19,ATR_4.MTOR_1,-59.65656,-30.6466403107,-29.0099196893,0.48628214046
Hs-578-T,ADAM17.MAP2K_1,-20.70996,3.11381342065,-23.8237734206,1.15035342515
SW620,IAP.IGFR_4,-1.773547,7.88077899754,-9.65432599754,5.44351291369
CAL-120,PARP1.PIK3CB_PIK3CD,7.779486,10.4108973161,-2.6314113161,-0.338250022701
CAL-51,AKT_1.PIK3C,27.7552,17.5789413227,10.1762586773,0.366643320073
J82,PIK3C.TNFSF10,-2.773666,10.7388040628,-13.5124700628,4.87170050857
Hs-578-T,AKT_1.EGFR,-38.83305,-1.65119175317,-37.1818582468,0.957479730457
SW620,IAP.PARP1,-10.45959,9.71230000092,-20.1718900009,1.92855456102
CAL-51,ERBB.PIK3CA_4,9.452282,3.55169697827,5.90058502173,0.624249786637
EVSA-T,AKT.BCL2L1,-4.365317,11.8155550625,-16.1808720625,3.70668889854
VM-CUB-1,BCL2_BCL2L1.MAP2K_1,-7.307753,4.26694642009,-11.5746994201,1.58389308178
MCF7,FGFR.PIK3C_MTOR,-89.69744,14.2576664316,-103.955106432,1.15895288017
UACC-812,BCL2_BCL2L1_BCL2L2.FGFR,8.120883,-1.51960737641,9.64049037641,1.18712341705
NCI-H23,BCL2L1.IAP,48.47307,29.763849069,18.709220931,0.385971446228
HCC1419,AKT.HDAC_4,-13.24663,7.90125799777,-21.1478879978,1.59647306506
NCI-H2291,IAP.PIK3C,-10.93406,25.4206215862,-36.3546815862,3.32490233145
NCI-H3122,CSNK2A1_2.PIK3CA_3,10.18352,13.2114839623,-3.0279639623,-0.297339619532
MFM-223,ATR_4.MAP2K_1,-19.08514,6.51634946989,-25.6014894699,1.34143576992
HCC70,ERBB.FGFR,-58.86693,0.280412702895,-59.1473427029,1.00476350139
J82,ATR_4.MTOR_1,-20.56418,-5.91931102658,-14.6448689734,0.712154288351
HCC1187,ESR1.FGFR,2.281585,-4.12265801847,6.40424301847,2.80692721002
BT-474,HSP90.PARP1,10.44146,15.9191114586,-5.4776514586,-0.524605894061
MDA-MB-231,AKT_SGK.PIK3C,16.45965,13.787780434,2.671869566,0.162328455708
BT-549,MAP2K_1.PIM1,22.0379,7.22264791576,14.8152520842,0.672262424471
MDA-MB-415,BCL2L1.MTOR_1,56.23353,14.6957291454,41.5378008546,0.738666074397
HCC1143,MAP2K_1.PIK3C,38.74999,21.735017355,17.014972645,0.439096181573
HCT-116,IGFR_3.TKI,-49.38698,-262.330067759,212.943087759,-4.3117252312
NCI-H2085,BRAF_M2.MAP2K_1,28.28184,40.4542008234,-12.1723608234,-0.430394939771
NCI-H1563,ALK_2.PIK3CB,44.22527,2.04454941577,42.1807205842,0.953769656674
NCI-H520,PIM1.TOP2_2,77.16998,15.3648051684,61.8051748316,0.800896602948
T-24,ATR_4.IAP,37.80441,-1.36188060745,39.1662906074,1.03602438465
