"CELL_LINE","COMPOUND_A","COMPOUND_B","MAX_CONC_A","MAX_CONC_B","IC50_A","H_A","Einf_A","IC50_B","H_B","Einf_B","SYNERGY_SCORE","QA","COMBINATION_ID"
"CAL-51","ADAM17","MTOR_1","1","75",0.394558094,1.3935526,4.90320901,1,0,100,NA,1,"ADAM17.MTOR_1"
"HCC1937","ADAM17","MTOR_1","1","75",0.646639227,1.6203179,68.19238653,75,0.5741982,92.77803539,NA,1,"ADAM17.MTOR_1"
"HCC70","ADAM17","MTOR_1","1","75",0.292514285,10,46.69960119,1,0,100,NA,1,"ADAM17.MTOR_1"
"Hs-578-T","ADAM17","MTOR_1","1","75",0.186565594,2.7805739,40.20184984,1,0,100,NA,1,"ADAM17.MTOR_1"
"MDA-MB-468","ADAM17","MTOR_1","1","75",0.326531587,10,91.99987151,1,0,100,NA,1,"ADAM17.MTOR_1"
"BT-20","ADAM17","PIK3C","1","75",0.770624333,0.7275389,9.76801832,15.37354836,0.8411412,74.4939301,NA,1,"ADAM17.PIK3C"
"CAL-51","ADAM17","PIK3C","1","75",0.466844187,1.4498369,43.15227541,75,10,87.80001356,NA,1,"ADAM17.PIK3C"
"HCC1395","ADAM17","PIK3C","1","75",0.865638163,0.95779,0,0.62945875,1.3258877,91.95313737,NA,1,"ADAM17.PIK3C"
"HCC1428","ADAM17","PIK3C","1","75",1,10,74.00000211,1,0,100,NA,1,"ADAM17.PIK3C"
"HCC1937","ADAM17","PIK3C","1","75",0.397032416,1.2723419,59.5967465,1,0,100,NA,1,"ADAM17.PIK3C"
"MDA-MB-436","ADAM17","PIK3C","1","75",0.294873219,10,59.2997068,1,0,100,NA,1,"ADAM17.PIK3C"
"BT-20","ADAM17","PIK3CB_PIK3CD","1","75",0.103439711,1.490744,82.06734471,75,0.4661187,63.79785274,NA,1,"ADAM17.PIK3CB_PIK3CD"
"CAMA-1","ADAM17","PIK3CB_PIK3CD","1","75",0.122967787,1.3445964,21.7945044,1,0,100,NA,1,"ADAM17.PIK3CB_PIK3CD"
"DU-4475","ADAM17","PIK3CB_PIK3CD","1","75",0.314345077,10,78.19975792,25.40842171,10,60.39913105,NA,1,"ADAM17.PIK3CB_PIK3CD"
"HCC1937","ADAM17","PIK3CB_PIK3CD","1","75",1,0.3704842,49.71116821,1.894158009,0.3333439,89.12822405,NA,1,"ADAM17.PIK3CB_PIK3CD"
"HCC70","ADAM17","PIK3CB_PIK3CD","1","75",0.133586457,1.007607,0,1,0,100,NA,1,"ADAM17.PIK3CB_PIK3CD"
"MDA-MB-231","ADAM17","PIK3CB_PIK3CD","1","75",1,0.421524,68.1637908,24.19968676,10,93.79991056,NA,1,"ADAM17.PIK3CB_PIK3CD"
"MDA-MB-453","ADAM17","PIK3CB_PIK3CD","1","75",0.178987468,2.1834471,43.24136856,1,0,100,NA,1,"ADAM17.PIK3CB_PIK3CD"
"BT-474","AKT","AKT_1","1","1",0.189261026,2.1698898,10.7305908,0.172964316,2.3284833,14.51593159,NA,1,"AKT.AKT_1"
"HCC1419","AKT","AKT_1","1","1",0.047452401,1.8277365,38.13383498,0.292130913,10,43.99965124,NA,1,"AKT.AKT_1"
"HCC1500","AKT","AKT_1","1","1",1,0.6940432,59.57381189,0.317139014,3.5908376,61.58759726,NA,1,"AKT.AKT_1"
"MCF7","AKT","AKT_1","1","1",0.068037778,2.0397005,48.51497261,0.340576565,10,75.39947607,NA,1,"AKT.AKT_1"
"MDA-MB-361","AKT","AKT_1","1","1",0.104121102,1.2449779,19.57560952,0.219338451,2.8973844,35.19633022,NA,1,"AKT.AKT_1"
"647-V","AKT","ATR_4","3","3",1.346929801,10,64.88831728,0.670939287,1.7780861,6.44858628,NA,1,"AKT.ATR_4"
"UM-UC-3","AKT","ATR_4","3","3",0.97795132,2.7689827,46.19755778,1.127953185,10,81.79897246,NA,1,"AKT.ATR_4"
"VM-CUB-1","AKT","ATR_4","3","3",3,10,33.20054192,3,0.1620118,32.09129554,NA,1,"AKT.ATR_4"
"NCI-H1299","AKT","CSNK2A1_2","0.1","3",0.02575692,2.1506442,8.58905488,2.077351389,1.0183897,0,NA,1,"AKT.CSNK2A1_2"
"NCI-H1563","AKT","CSNK2A1_2","0.03","3",0.010928212,0.677131,0,0.203204413,1.5911817,21.55784721,NA,1,"AKT.CSNK2A1_2"
"NCI-H1975","AKT","CSNK2A1_2","0.03","3",0.023056362,2.7567666,0,1.436517103,0.7813134,0,NA,1,"AKT.CSNK2A1_2"
"NCI-H2170","AKT","CSNK2A1_2","0.03","3",0.007888368,1.2001273,0,3,0.7324575,21.87919341,NA,1,"AKT.CSNK2A1_2"
"NCI-H3122","AKT","CSNK2A1_2","0.1","3",0.006059048,3.1423641,1.04602483,1.153818335,0.9289295,0,NA,1,"AKT.CSNK2A1_2"
"NCI-H838","AKT","CSNK2A1_2","0.1","3",0.008142171,2.8792242,6.2858984,0.399044916,0.8428802,0,NA,1,"AKT.CSNK2A1_2"
"BT-474","AKT","Chloroquine","1","1",1,0,100,0.176227079,2.051174,12.49023594,NA,1,"AKT.Chloroquine"
"MDA-MB-361","AKT","Chloroquine","1","1",1,0,100,0.251449075,2.2460251,32.33637977,NA,1,"AKT.Chloroquine"
"HT-1197","AKT","ERBB","3","1",1,0,100,0.323561764,0.7823419,38.21452747,NA,1,"AKT.ERBB"
"22RV1","AKT","ERBB","3","1",3e-04,0.1,90.43727575,0.322256429,10,79.89975104,NA,1,"AKT.ERBB"
"TCCSUP","AKT","ERBB","3","3",3,3.0210787,86.20652128,0.378971706,0.8756791,57.66058763,NA,1,"AKT.ERBB"
"HT-1197","AKT","FGFR","3","1",1.000008501,10,78.39957291,0.099497542,2.5309997,58.53845263,NA,1,"AKT.FGFR"
"HT-1376","AKT","FGFR","3","3",3,1.6907322,48.01735939,0.098751561,0.8716415,29.50148044,NA,1,"AKT.FGFR"
"647-V","AKT","HDAC_4","3","3",1.059098685,10,29.4978751,0.805730748,1.508783,5.37672688,NA,1,"AKT.HDAC_4"
"BT-474","AKT","HDAC_4","1","1",1,0,100,0.166702544,2.4145545,15.09406444,NA,1,"AKT.HDAC_4"
"HT-1197","AKT","HDAC_4","3","1",0.887123877,1.4600699,22.0904939,0.077634728,2.3751822,68.71170033,NA,1,"AKT.HDAC_4"
"MCF7","AKT","HDAC_4","1","1",1,1.514885,22.29937194,0.651475867,1.8038703,52.78416987,NA,1,"AKT.HDAC_4"
"T47D","AKT","HDAC_4","1","1",1,0,100,0.107740911,10,43.74912299,NA,1,"AKT.HDAC_4"
"BT-549","AKT","PIK3CA_4","1","1",1,0.5569397,54.70043348,0.235409029,1.1824789,34.65841591,NA,1,"AKT.PIK3CA_4"
"HCC1143","AKT","PIK3CA_4","1","1",0.147379749,1.3922871,80.69877654,1,1.2589926,35.73638249,NA,1,"AKT.PIK3CA_4"
"HCC1395","AKT","PIK3CA_4","1","1",1,0.1702583,83.69664872,0.266402513,1.1121241,40.79459922,NA,1,"AKT.PIK3CA_4"
"HCC1806","AKT","PIK3CA_4","1","1",1,1.2211965,15.5728117,0.341034696,10,51.19895805,NA,1,"AKT.PIK3CA_4"
"HCC70","AKT","PIK3CA_4","1","1",0.000100001,4.8756878,92.17999996,0.275975003,10,16.39935397,NA,1,"AKT.PIK3CA_4"
"Hs-578-T","AKT","PIK3CA_4","1","1",0.008571031,1.2011149,71.64961065,1,0.4037859,13.18375047,NA,1,"AKT.PIK3CA_4"
"MDA-MB-468","AKT","PIK3CA_4","1","1",1,10,91.80003778,0.305458391,3.2293597,39.61949411,NA,1,"AKT.PIK3CA_4"
"DU-4475","AKT","PIK3C_2","1","1",0.269305426,2.1636457,0,0.235901835,0.9943286,24.80880255,NA,1,"AKT.PIK3C_2"
"HCC1395","AKT","PIK3C_2","1","1",1,2.0611933,6.44311915,0.351554407,1.4558558,40.40348346,NA,1,"AKT.PIK3C_2"
"MDA-MB-157","AKT","PIK3C_2","1","1",0.228962238,10,58.39316718,1,0.4464848,58.41863217,NA,1,"AKT.PIK3C_2"
"MDA-MB-231","AKT","PIK3C_2","1","1",1,10,45.40010634,0.383825407,10,89.79929154,NA,1,"AKT.PIK3C_2"
"MDA-MB-436","AKT","PIK3C_2","1","1",0.323075518,10,52.59939739,0.251957688,2.6100963,71.54618956,NA,1,"AKT.PIK3C_2"
"MFM-223","AKT","PIK3C_2","1","1",0.312276446,10,24.69931251,0.147308593,0.9167812,0,NA,1,"AKT.PIK3C_2"
"HT-1376","AKT","TNF","0.1","3",0.000758787,1.1883241,66.07847144,0.07664726,0.8455878,28.2299965,NA,1,"AKT.TNF"
"TCCSUP","AKT","TNF","0.03","3",0.000240716,9.2434711,90.05001747,0.289807097,1.1409921,66.70163425,NA,1,"AKT.TNF"
"VM-CUB-1","AKT","TNF","0.03","3",1,0,100,1.410173697,2.4513794,30.45917977,NA,1,"AKT.TNF"
"BT-549","AKT","AKT_1","1","1",0.788847999,0.6622224,0,0.817985161,0.5738707,0,NA,1,"AKT.AKT_1"
"DU-4475","AKT","AKT_1","1","1",0.204921115,0.841267,0,1,0.4354937,0,NA,1,"AKT.AKT_1"
"HCC1143","AKT","AKT_1","1","1",1,0.711134,59.15155633,0.387543358,1.4073373,67.97330883,NA,1,"AKT.AKT_1"
"HCC1395","AKT","AKT_1","1","1",0.31916273,1.1887149,39.95937465,0.739327338,1.0334819,20.50269339,NA,1,"AKT.AKT_1"
"CAL-148","AKT_1","PIK3C","1","1",0.450359852,2.0086167,41.26472904,0.3322503,1.116723,0,NA,1,"AKT_1.PIK3C"
"HCC1143","AKT_1","PIK3C","1","1",1,0.656646,9.27445387,0.162196204,1.0969751,76.11243218,NA,1,"AKT_1.PIK3C"
"HCC1395","AKT_1","PIK3C","1","1",0.929061869,1.1455543,0,1,0.6358116,0,NA,1,"AKT_1.PIK3C"
"HCC1428","AKT_1","PIK3C","1","1",1,0,100,1,0.3339691,72.38557487,NA,1,"AKT_1.PIK3C"
"HCC1937","AKT_1","PIK3C","1","1",0.482255639,1.0000679,51.40037279,0.271855192,1.0280927,68.18940583,NA,1,"AKT_1.PIK3C"
"HCC38","AKT_1","PIK3C","1","1",0.293095179,10,72.39974408,1,0.3561465,66.03686752,NA,1,"AKT_1.PIK3C"
"Hs-578-T","AKT_1","PIK3C","1","1",0.374243914,0.7799456,0,0.765155289,0.3832389,0,NA,1,"AKT_1.PIK3C"
"MDA-MB-436","AKT_1","PIK3C","1","1",0.291341179,3.1469025,57.54335574,0.251627325,5.3974518,87.79304134,NA,1,"AKT_1.PIK3C"
"BT-549","AKT_1","PIK3CB_PIK3CD","1","1",0.118769953,0.8396577,32.20073443,0.229595877,1.1164911,42.5877428,NA,1,"AKT_1.PIK3CB_PIK3CD"
"CAL-120","AKT_1","PIK3CB_PIK3CD","1","1",0.147149421,3.1864328,63.36553004,1,0,100,NA,1,"AKT_1.PIK3CB_PIK3CD"
"HCC1187","AKT_1","PIK3CB_PIK3CD","1","1",1,0.9151058,42.02544578,0.354116837,0.6810646,8.8558389,NA,1,"AKT_1.PIK3CB_PIK3CD"
"HCC1395","AKT_1","PIK3CB_PIK3CD","1","1",0.658816191,0.522075,34.53191146,0.268771315,1.3663952,43.52402442,NA,1,"AKT_1.PIK3CB_PIK3CD"
"HCC1937","AKT_1","PIK3CB_PIK3CD","1","1",1,0.3816037,44.90489642,0.728033868,0.7550818,52.27714621,NA,1,"AKT_1.PIK3CB_PIK3CD"
"HCC38","AKT_1","PIK3CB_PIK3CD","1","1",0.279222491,10,75.59975169,1,0.3834603,66.74186013,NA,1,"AKT_1.PIK3CB_PIK3CD"
"Hs-578-T","AKT_1","PIK3CB_PIK3CD","1","1",0.373842746,10,64.89812609,0.281136077,10,48.69924582,NA,1,"AKT_1.PIK3CB_PIK3CD"
"BT-20","AKT_1","PIK3C_2","1","1",0.82045955,1.2603112,0,0.133655076,2.1350658,67.79497061,NA,1,"AKT_1.PIK3C_2"
"BT-549","AKT_1","PIK3C_2","1","1",0.672968006,1.3365856,0,0.858046369,0.8038224,0,NA,1,"AKT_1.PIK3C_2"
"CAL-120","AKT_1","PIK3C_2","1","1",0.297402901,10,58.59964496,1,0,100,NA,1,"AKT_1.PIK3C_2"
"CAMA-1","AKT_1","PIK3C_2","1","1",1,1.6328835,7.82017981,0.354650054,2.3936167,27.50193203,NA,1,"AKT_1.PIK3C_2"
"HCC1937","AKT_1","PIK3C_2","1","1",1,0.804016,40.74464704,1,0.44713,46.81792545,NA,1,"AKT_1.PIK3C_2"
"MDA-MB-453","AKT_1","PIK3C_2","1","1",0.416250513,1.3095199,0,0.082626226,0.8993464,0,NA,1,"AKT_1.PIK3C_2"
"M14","AKT_1","PIK3C_2","1","1",0.302175051,10,69.49970226,0.190527253,5.6543397,93.10353609,NA,1,"AKT_1.PIK3C_2"
"CAL-148","AKT_SGK","BCL2_BCL2L1","1","1",0.286572557,3.0407151,38.57002372,0.124484175,1.4115807,0,NA,1,"AKT_SGK.BCL2_BCL2L1"
"CAL-51","AKT_SGK","BCL2_BCL2L1","1","1",0.02855276,10,93.39994457,0.225709904,1.1059938,18.66157999,NA,1,"AKT_SGK.BCL2_BCL2L1"
"DU-4475","AKT_SGK","BCL2_BCL2L1","1","1",0.007457662,10,0,0.284831563,10,40.49958532,NA,1,"AKT_SGK.BCL2_BCL2L1"
"HCC1395","AKT_SGK","BCL2_BCL2L1","1","1",1,0.2100488,87.61500303,0.229543809,0.8220139,24.03390383,NA,1,"AKT_SGK.BCL2_BCL2L1"
"HCC1937","AKT_SGK","BCL2_BCL2L1","1","1",1,0.8117676,38.41623391,0.431293909,0.8893073,56.90692481,NA,1,"AKT_SGK.BCL2_BCL2L1"
"MDA-MB-231","AKT_SGK","BCL2_BCL2L1","1","1",0.252354328,1.6734163,57.23560017,0.197337626,2.9290757,81.35193204,NA,1,"AKT_SGK.BCL2_BCL2L1"
"MFM-223","AKT_SGK","BCL2_BCL2L1","1","1",1,0.8286412,9.6098354,0.138347644,0.8770997,0.24961227,NA,1,"AKT_SGK.BCL2_BCL2L1"
"CAMA-1","AKT_SGK","FGFR","1","1",1,1.1482119,77.66020783,0.119139233,1.5496771,8.07713751,NA,1,"AKT_SGK.FGFR"
"HCC1937","AKT_SGK","FGFR","1","1",1,0,100,0.17668178,1.5492887,72.39148588,NA,1,"AKT_SGK.FGFR"
"HCC38","AKT_SGK","FGFR","1","1",0.013492749,3.1730307,79.81127997,1,10,72.40001414,NA,1,"AKT_SGK.FGFR"
"HCC70","AKT_SGK","FGFR","1","1",1,0,100,0.264975614,1.2031577,32.01979372,NA,1,"AKT_SGK.FGFR"
"MDA-MB-157","AKT_SGK","FGFR","1","1",0.032447204,1.6213004,35.06672619,0.17414526,10,88.54248421,NA,1,"AKT_SGK.FGFR"
"MFM-223","AKT_SGK","FGFR","1","1",0.098941607,0.9535425,18.46315845,0.105223598,1.3491604,11.51599662,NA,1,"AKT_SGK.FGFR"
"M14","AKT_SGK","FGFR","1","1",0.014753529,10,93.5509447,0.26973353,10,77.39989697,NA,1,"AKT_SGK.FGFR"
"CAL-120","AKT_SGK","MAP2K_1","1","1",1,0.2054006,55.91407778,0.336684274,0.6539671,51.91958734,NA,1,"AKT_SGK.MAP2K_1"
"HCC1143","AKT_SGK","MAP2K_1","1","1",0.043507896,0.607996,43.1067812,1,0.4521652,55.80575081,NA,1,"AKT_SGK.MAP2K_1"
"HCC1187","AKT_SGK","MAP2K_1","1","1",0.095045116,5.3992182,52.84944632,0.29059368,0.9677593,25.88848796,NA,1,"AKT_SGK.MAP2K_1"
"HCC1428","AKT_SGK","MAP2K_1","1","1",1,0.5448252,81.87458484,0.08399449,10,87.89991078,NA,1,"AKT_SGK.MAP2K_1"
"HCC1806","AKT_SGK","MAP2K_1","1","1",0.477769194,0.7671231,0,1,1.4135185,6.42959639,NA,1,"AKT_SGK.MAP2K_1"
"MDA-MB-157","AKT_SGK","MAP2K_1","1","1",0.05358002,0.7850413,61.34298969,1,0.4592922,61.18589165,NA,1,"AKT_SGK.MAP2K_1"
"MDA-MB-468","AKT_SGK","MAP2K_1","1","1",0.018738304,2.3527942,89.80289181,0.327649838,2.0822146,55.77300437,NA,1,"AKT_SGK.MAP2K_1"
"CAL-148","AKT_SGK","PIK3C","1","1",0.303624563,10,48.29961574,0.108677809,1.3384894,0,NA,1,"AKT_SGK.PIK3C"
"CAMA-1","AKT_SGK","PIK3C","1","1",0.366858535,10,62.69835192,0.111583083,1.511844,9.15322177,NA,1,"AKT_SGK.PIK3C"
"HCC1143","AKT_SGK","PIK3C","1","1",0.293320635,0.3816878,0,1,0.1682142,2.04376674,NA,1,"AKT_SGK.PIK3C"
"HCC1395","AKT_SGK","PIK3C","1","1",0.930618489,0.8843903,0,0.26329201,0.6940046,15.39027713,NA,1,"AKT_SGK.PIK3C"
"HCC38","AKT_SGK","PIK3C","1","1",1,1.0017042,31.22366309,0.274414952,10,79.69862134,NA,1,"AKT_SGK.PIK3C"
"MDA-MB-436","AKT_SGK","PIK3C","1","1",0.293734652,2.5298937,57.68076405,0.268909734,10,69.29948596,NA,1,"AKT_SGK.PIK3C"
"MDA-MB-453","AKT_SGK","PIK3C","1","1",0.238983141,2.7465614,11.36416697,0.221975161,1.9952927,12.6667249,NA,1,"AKT_SGK.PIK3C"
"BT-549","AKT","ALK_IGFR","1","1",0.369624428,10,70.0985765,0.19773463,1.6076869,46.52036113,NA,1,"AKT.ALK_IGFR"
"CAL-51","AKT","ALK_IGFR","1","1",1,0.6726899,56.87052122,1,0.6852062,1.65412796,NA,1,"AKT.ALK_IGFR"
"HCC1143","AKT","ALK_IGFR","1","1",1,0.4375098,78.82302713,0.334618939,0.733999,64.01475982,NA,1,"AKT.ALK_IGFR"
"HCC1187","AKT","ALK_IGFR","1","1",0.128679672,1.9861114,50.12494211,0.328089612,10,60.69942578,NA,1,"AKT.ALK_IGFR"
"HCC1428","AKT","ALK_IGFR","1","1",1,0,100,0.010424412,1.8513628,94.08549431,NA,1,"AKT.ALK_IGFR"
"HCC1806","AKT","ALK_IGFR","1","1",0.370427972,10,45.49734625,0.365587767,10,70.39873617,NA,1,"AKT.ALK_IGFR"
"MFM-223","AKT","ALK_IGFR","1","1",0.598849631,0.9619151,0.82295771,0.194985316,1.1173381,11.18406916,NA,1,"AKT.ALK_IGFR"
"BT-20","AKT_1","ALK_IGFR","1","1",0.854079435,1.0958183,0,0.341351137,0.7058071,47.27270515,NA,1,"AKT_1.ALK_IGFR"
"HCC1187","AKT_1","ALK_IGFR","1","1",0.090244303,0.9364931,48.54784738,0.111440133,0.9024354,38.95035374,NA,1,"AKT_1.ALK_IGFR"
"HCC1806","AKT_1","ALK_IGFR","1","1",0.370679549,2.5620841,32.90337193,0.329133665,1.0280992,6.99742683,NA,1,"AKT_1.ALK_IGFR"
"HCC38","AKT_1","ALK_IGFR","1","1",1,10,71.80006596,1,0.523235,55.38267402,NA,1,"AKT_1.ALK_IGFR"
"Hs-578-T","AKT_1","ALK_IGFR","1","1",0.334988471,3.3343193,59.67437346,0.232413348,1.1004138,43.37575259,NA,1,"AKT_1.ALK_IGFR"
"MDA-MB-157","AKT_1","ALK_IGFR","1","1",0.307132348,1.968389,20.9001159,1,0.4464034,38.76478737,NA,1,"AKT_1.ALK_IGFR"
"MDA-MB-436","AKT_1","ALK_IGFR","1","1",0.239793026,3.5661395,52.60558191,1,0.777935,52.28207217,NA,1,"AKT_1.ALK_IGFR"
"BT-20","ALK_IGFR","MTOR_1","1","1",0.646232625,1.3025513,0,0.368927839,1.8551306,48.24516248,NA,1,"ALK_IGFR.MTOR_1"
"CAL-148","ALK_IGFR","MTOR_1","1","1",0.441427986,1.0461187,55.61140026,1,0,100,NA,1,"ALK_IGFR.MTOR_1"
"DU-4475","ALK_IGFR","MTOR_1","1","1",0.244233413,1.9828237,0,0.151446515,3.1370097,1.1258569,NA,1,"ALK_IGFR.MTOR_1"
"HCC1143","ALK_IGFR","MTOR_1","1","1",0.242929699,2.214288,49.01613094,1,0,100,NA,1,"ALK_IGFR.MTOR_1"
"HCC1937","ALK_IGFR","MTOR_1","1","1",0.312760653,2.7152463,77.27601438,1,1.036852,80.15894958,NA,1,"ALK_IGFR.MTOR_1"
"MDA-MB-157","ALK_IGFR","MTOR_1","1","1",1,0.5304844,2.90465884,0.740550966,0.9873129,0,NA,1,"ALK_IGFR.MTOR_1"
"MFM-223","ALK_IGFR","MTOR_1","1","1",0.411946833,0.7318102,0,0.645239557,0.6921774,0,NA,1,"ALK_IGFR.MTOR_1"
"BT-20","ALK_IGFR","PIK3CB_PIK3CD","1","1",0.389188182,10,82.59861255,0.973059222,1.3689735,0,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"CAMA-1","ALK_IGFR","PIK3CB_PIK3CD","1","1",0.198578552,1.2156149,21.04973231,1,10,89.40002111,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"DU-4475","ALK_IGFR","PIK3CB_PIK3CD","1","1",0.318844153,2.1814229,44.18787692,0.06173659,1.2173761,0,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"HCC1187","ALK_IGFR","PIK3CB_PIK3CD","1","1",1,1.5377755,58.37338104,0.098929158,2.1932902,49.98270448,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"HCC1806","ALK_IGFR","PIK3CB_PIK3CD","1","1",1,0,100,0.361909492,10,45.79791008,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"HCC1937","ALK_IGFR","PIK3CB_PIK3CD","1","1",1,0.5424924,42.34912226,0.364044362,10,89.69957846,NA,1,"ALK_IGFR.PIK3CB_PIK3CD"
"BT-20","AKT","ATR_4","1","1",1,1.3960523,3.13923903,0.183312579,2.9813394,79.49010893,NA,1,"AKT.ATR_4"
"CAL-120","AKT","ATR_4","1","1",0.286782653,10,64.79969235,0.623807167,0.5462439,30.33156492,NA,1,"AKT.ATR_4"
"CAL-51","AKT","ATR_4","1","1",0.282360263,3.8328343,3.54883134,0.593544148,1.1376553,26.09624672,NA,1,"AKT.ATR_4"
"CAMA-1","AKT","ATR_4","1","1",1,10,23.60008975,0.125483572,1.5666822,15.02685206,NA,1,"AKT.ATR_4"
"HCC1187","AKT","ATR_4","1","1",0.337823152,10,58.49918259,0.296114945,10,56.99962326,NA,1,"AKT.ATR_4"
"HCC1395","AKT","ATR_4","1","1",0.427889725,1.6634124,0,0.472202348,0.963088,27.85527052,NA,1,"AKT.ATR_4"
"HCC1428","AKT","ATR_4","1","1",1,0.5902537,26.08272483,1,0,100,NA,1,"AKT.ATR_4"
"BT-20","ATR_4","BCL2_BCL2L1","1","1",1,1.5084627,51.97322617,1,1.639254,12.62801599,NA,1,"ATR_4.BCL2_BCL2L1"
"BT-549","ATR_4","BCL2_BCL2L1","1","1",0.248214228,1.2264214,70.59449923,1,10,31.00015334,NA,1,"ATR_4.BCL2_BCL2L1"
"CAL-148","ATR_4","BCL2_BCL2L1","1","1",0.252096261,2.4300387,38.81133291,0.378463585,10,51.79709378,NA,1,"ATR_4.BCL2_BCL2L1"
"DU-4475","ATR_4","BCL2_BCL2L1","1","1",0.000100766,7.8270701,0.16,0.095337824,1.707715,0,NA,1,"ATR_4.BCL2_BCL2L1"
"HCC1806","ATR_4","BCL2_BCL2L1","1","1",1,0,100,0.326058677,10,10.89875595,NA,1,"ATR_4.BCL2_BCL2L1"
"HCC1937","ATR_4","BCL2_BCL2L1","1","1",1,0.7714663,44.97170156,1,0,100,NA,1,"ATR_4.BCL2_BCL2L1"
"MDA-MB-157","ATR_4","BCL2_BCL2L1","1","1",1,0.768985,57.48261506,0.324904656,10,38.49917655,NA,1,"ATR_4.BCL2_BCL2L1"
