source	interaction	target
HCT-116	0	NCI-H358
HCT-116	0	RKO
HCT-116	0	SW48
HCT-116	0	SW620
HCT-116	0	SW837
HCT-116	0	SW900
HCT-116	0	SW948
HCT-116	0	VM-CUB-1
Hs-578-T	0	Hs-578-T
HT-1197	0	HT-1197
HT-1197	0	HT-1376
HT-1376	0	HT-1376
HT-29	0	HT-29
HT-29	0	KATOIII
HT-29	0	LS-513
HT-29	0	NCI-H747
HT-29	0	NCI-SNU-16
HT-29	0	SW837
HT-29	0	SW948
J82	0	J82
J82	0	MDA-MB-231
J82	0	MDA-MB-436
J82	0	NCI-H1563
J82	0	NCI-H1703
J82	0	NCI-H1793
J82	0	NCI-H1975
J82	0	NCI-H2228
J82	0	NCI-H226
J82	0	NCI-H2291
J82	0	SW900
J82	0	T-24
J82	0	TCCSUP
J82	0	UM-UC-3
J82	0	VM-CUB-1
KATOIII	0	KATOIII
KATOIII	0	NCI-SNU-16
KATOIII	0	SW948
KMS-11	0	KMS-11
KU-19-19	0	KU-19-19
KU-19-19	0	MDA-MB-231
KU-19-19	0	NCI-H1975
KU-19-19	0	NCI-H2291
KU-19-19	0	NCI-H3122
KU-19-19	0	SW900
KU-19-19	0	T-24
KU-19-19	0	VM-CUB-1
LS-513	0	LS-513
LS-513	0	NCI-SNU-16
LS-513	0	SW948
M14	0	M14
MCF7	0	MCF7
MCF7	0	MDA-MB-361
MCF7	0	NCI-H2170
MCF7	0	NCI-H3122
MCF7	0	T47D
MDA-MB-157	0	MDA-MB-157
MDA-MB-231	0	MDA-MB-231
MDA-MB-231	0	MDA-MB-436
MDA-MB-231	0	NCI-H1299
MDA-MB-231	0	NCI-H1793
MDA-MB-231	0	NCI-H1975
MDA-MB-231	0	NCI-H2228
MDA-MB-231	0	NCI-H226
MDA-MB-231	0	NCI-H2291
MDA-MB-231	0	NCI-H23
MDA-MB-231	0	SW900
MDA-MB-231	0	T-24
MDA-MB-231	0	TCCSUP
MDA-MB-231	0	UM-UC-3
MDA-MB-231	0	VM-CUB-1
MDA-MB-361	0	MDA-MB-361
MDA-MB-361	0	MDA-MB-415
MDA-MB-361	0	MDA-MB-453
MDA-MB-361	0	T47D
MDA-MB-415	0	MDA-MB-415
MDA-MB-436	0	MDA-MB-436
MDA-MB-436	0	NCI-H1299
MDA-MB-436	0	NCI-H1703
MDA-MB-436	0	NCI-H1793
MDA-MB-436	0	NCI-H1975
MDA-MB-436	0	NCI-H226
MDA-MB-436	0	NCI-H23
MDA-MB-436	0	NCI-H838
MDA-MB-436	0	SW900
MDA-MB-436	0	T-24
MDA-MB-436	0	UM-UC-3
MDA-MB-436	0	VM-CUB-1
MDA-MB-453	0	MDA-MB-453
MDA-MB-453	0	T47D
MDA-MB-468	0	MDA-MB-468
MFM-223	0	MFM-223
NCI-H1299	0	NCI-H1299
NCI-H1299	0	NCI-H1703
NCI-H1299	0	NCI-H23
NCI-H1299	0	UM-UC-3
NCI-H1299	0	VM-CUB-1
NCI-H1563	0	NCI-H1563
NCI-H1563	0	NCI-H1793
NCI-H1563	0	NCI-H1975
NCI-H1563	0	T-24
NCI-H1703	0	NCI-H1703
NCI-H1703	0	NCI-H1793
NCI-H1703	0	NCI-H1975
NCI-H1703	0	NCI-H23
NCI-H1703	0	NCI-H522
NCI-H1703	0	UM-UC-3
NCI-H1703	0	VM-CUB-1
NCI-H1793	0	NCI-H1793
NCI-H1793	0	NCI-H1975
NCI-H1793	0	NCI-H2170
NCI-H1793	0	NCI-H2228
NCI-H1793	0	NCI-H226
NCI-H1793	0	NCI-H2291
NCI-H1793	0	NCI-H23
NCI-H1793	0	NCI-H838
NCI-H1793	0	SW900
NCI-H1793	0	T-24
NCI-H1793	0	VM-CUB-1
NCI-H1975	0	NCI-H1975
NCI-H1975	0	NCI-H2170
NCI-H1975	0	NCI-H2228
NCI-H1975	0	NCI-H226
NCI-H1975	0	NCI-H2291
NCI-H1975	0	NCI-H23
NCI-H1975	0	NCI-H3122
NCI-H1975	0	NCI-H358
NCI-H1975	0	NCI-H838
NCI-H1975	0	SW900
NCI-H1975	0	T-24
NCI-H1975	0	TCCSUP
NCI-H1975	0	UM-UC-3
NCI-H1975	0	VM-CUB-1
NCI-H2085	0	NCI-H2085
NCI-H2170	0	NCI-H2170
NCI-H2170	0	NCI-H3122
NCI-H2170	0	NCI-SNU-16
NCI-H2170	0	SW620
NCI-H2170	0	SW900
NCI-H2170	0	SW948
NCI-H2170	0	VM-CUB-1
NCI-H2228	0	NCI-H2228
NCI-H2228	0	NCI-H226
NCI-H2228	0	NCI-H2291
NCI-H2228	0	NCI-H3122
NCI-H2228	0	NCI-H358
NCI-H2228	0	SW900
NCI-H2228	0	T-24
NCI-H2228	0	TCCSUP
NCI-H2228	0	VM-CUB-1
NCI-H226	0	NCI-H226
NCI-H226	0	T-24
NCI-H226	0	TCCSUP
NCI-H226	0	UM-UC-3
NCI-H226	0	VM-CUB-1
NCI-H2291	0	NCI-H2291
NCI-H2291	0	NCI-H3122
NCI-H2291	0	NCI-H358
NCI-H2291	0	NCI-H747
NCI-H2291	0	SW900
NCI-H2291	0	T-24
NCI-H2291	0	VM-CUB-1
NCI-H23	0	NCI-H23
NCI-H23	0	NCI-H522
NCI-H23	0	NCI-H838
NCI-H23	0	SW900
NCI-H23	0	T-24
NCI-H23	0	UM-UC-3
NCI-H23	0	VM-CUB-1
NCI-H3122	0	NCI-H3122
NCI-H3122	0	NCI-H358
NCI-H3122	0	SW620
NCI-H3122	0	SW780
NCI-H3122	0	SW900
NCI-H3122	0	VM-CUB-1
NCI-H358	0	NCI-H358
NCI-H358	0	SW900
NCI-H520	0	NCI-H520
NCI-H522	0	NCI-H522
NCI-H747	0	NCI-H747
NCI-H747	0	SW780
NCI-H747	0	SW837
NCI-H747	0	SW900
NCI-H838	0	NCI-H838
NCI-SNU-16	0	NCI-SNU-16
NCI-SNU-16	0	SW948
RKO	0	RKO
RKO	0	SW48
RKO	0	UM-UC-3
RT4	0	RT4
RT4	0	SW780
SW48	0	SW48
SW48	0	SW620
SW48	0	SW837
SW48	0	SW948
SW620	0	SW620
SW620	0	SW948
SW780	0	SW780
SW780	0	SW900
SW780	0	T-24
SW837	0	SW837
SW837	0	SW900
SW900	0	SW900
SW900	0	T-24
SW900	0	TCCSUP
SW900	0	VM-CUB-1
SW948	0	SW948
T-24	0	T-24
T-24	0	TCCSUP
T-24	0	UM-UC-3
T-24	0	VM-CUB-1
T47D	0	T47D
TCCSUP	0	TCCSUP
TCCSUP	0	VM-CUB-1
UACC-812	0	UACC-812
UM-UC-3	0	UM-UC-3
UM-UC-3	0	VM-CUB-1
VCaP	0	VCaP
